64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1208
# a b m n r rhoa
1 13 2 5 1.75693272 7.039447673743639
1 13 3 6 0.633830768 5.807777746073265
1 13 4 7 0.372295804 5.263207932639186
1 13 5 8 0.319360222 5.508312228225916
1 13 6 9 0.263811161 4.550204264571107
1 13 7 10 0.49248953 6.9624067023805205
1 13 8 11 0.90967542 8.335336381817696
1 13 9 12 2.90112312 11.623839755416409
1 23 2 7 1.87159868 6.931975519140125
1 23 3 8 0.676572668 5.686093018035336
1 23 4 9 0.368815889 5.101341193670925
1 23 5 10 0.260252536 5.101870520296448
1 23 6 11 0.180124719 4.544850896213638
1 23 7 12 0.150832378 4.548997350223473
1 23 8 13 0.120335478 4.071254423934016
1 23 9 14 0.128491359 4.599703516765693
1 23 10 15 0.108428713 3.881505623304039
1 23 11 16 0.126010203 4.263244763315548
1 23 12 17 0.144572838 4.3602140713865
1 23 13 18 0.190497229 4.806566842982082
1 23 14 19 0.242250065 4.748958393102453
1 23 15 20 0.358157721 4.953920886983798
1 23 16 21 0.704820793 5.923497622052077
1 23 17 22 1.92485054 7.129208288009506
1 55 2 9 1.91352393 6.84782993280756
1 55 5 12 0.263772302 5.104292286559113
1 55 8 15 0.099878015 4.17522008335426
1 55 11 18 0.060815559 4.201265910900524
1 55 14 21 0.041276314 4.059320638181378
1 55 17 24 0.033178811 4.175382539466846
1 55 20 27 0.028731615 4.235136497267102
1 55 23 30 0.025561788 4.071878784105061
1 55 26 33 0.025685653 4.091609925979532
1 55 29 36 0.028820209 4.2481955502593856
1 55 32 39 0.033389126 4.201849599386141
1 55 35 42 0.040195881 3.9530654145421686
1 55 38 45 0.059055248 4.079659948240817
1 55 41 48 0.10400855 4.347889641184356
1 55 44 51 0.243562319 4.7132062644248
1 55 47 54 2.1305035 7.624323589855117
2 14 3 6 1.61434661 6.468152342441678
2 14 4 7 0.620960561 5.689848315102573
2 14 5 8 0.401711818 5.679067033300512
2 14 6 9 0.257754266 4.445735183905262
2 14 7 10 0.320649052 5.5305419160832345
2 14 8 11 0.3936679 5.565348821673558
2 14 9 12 0.704184344 6.452426055493097
2 14 10 13 1.3481255 5.401492502734811
2 24 3 8 1.71893703 6.366551514613932
2 24 4 9 0.670381157 5.634057946071435
2 24 5 10 0.402707207 5.570114860364013
2 24 6 11 0.247859541 4.858923969917083
2 24 7 12 0.192584137 4.859223056669863
2 24 8 13 0.140757284 4.245139673795059
2 24 9 14 0.142207205 4.811230420936554
2 24 10 15 0.112463332 4.025935967473017
2 24 11 16 0.122084255 4.370343511311291
2 24 12 17 0.131943204 4.463973234834604
2 24 13 18 0.162804946 4.910081494288154
2 24 14 19 0.193267444 4.876464046405086
2 24 15 20 0.266437234 5.223112483537631
2 24 16 21 0.448124612 6.198313606530656
2 24 17 22 0.918707141 7.721054229845573
2 24 18 23 4.13941603 15.331454809262958
2 56 3 10 1.76868804 6.329513162717926
2 56 6 13 0.251094246 4.858957568096656
2 56 9 16 0.114955105 4.80549060851978
2 56 12 19 0.06129601 4.234456470049345
2 56 15 22 0.044695098 4.395541078036649
2 56 18 25 0.033455991 4.210264215374082
2 56 21 28 0.028113841 4.144074535923729
2 56 24 31 0.026983426 4.298339374846114
2 56 27 34 0.026524137 4.225176686270775
2 56 30 37 0.02941496 4.335863844119167
2 56 33 40 0.033593455 4.227563352025038
2 56 36 43 0.043607241 4.28855574084084
2 56 39 46 0.062062369 4.287398151341986
2 56 42 49 0.111603737 4.665392720307736
2 56 45 52 0.277381249 5.367640798414205
2 56 48 55 2.44637569 8.754719193333917
3 15 4 7 1.82637109 7.3176642307015225
3 15 5 8 0.746614891 6.841216248493504
3 15 6 9 0.364727607 5.156215068206644
3 15 7 10 0.344686899 5.945145731615162
3 15 8 11 0.332955429 5.742801810223271
3 15 9 12 0.496002628 7.012071955287155
3 15 10 13 0.722591064 6.62108643645176
3 15 11 14 2.73265117 10.948828434255201
3 25 4 9 1.9396583 7.184052860678954
3 25 5 10 0.786549286 6.6103651758295365
3 25 6 11 0.390970234 5.40777287445813
3 25 7 12 0.269731233 5.287686518627863
3 25 8 13 0.175401401 4.4256736052533565
3 25 9 14 0.165105349 4.979460014273076
3 25 10 15 0.11986264 4.055257115149452
3 25 11 16 0.119171322 4.2660670193473225
3 25 12 17 0.118855708 4.254768743439598
3 25 13 18 0.134180478 4.539665888584253
3 25 14 19 0.144580074 4.360432304005137
3 25 15 20 0.181921516 4.590187119365575
3 25 16 21 0.255258759 5.003974822322406
3 25 17 22 0.406646382 5.624600245337702
3 25 18 23 0.909326464 7.6422165757147615
3 25 19 24 1.83567955 6.798939237115813
3 57 4 11 2.0042571 7.172532074068221
3 57 7 14 0.276661722 5.353717137407254
3 57 10 17 0.103777549 4.338233061460831
3 57 13 20 0.063184379 4.364908946970609
3 57 16 23 0.044005393 4.327712014114979
3 57 19 26 0.034277762 4.313679864742597
3 57 22 29 0.028787703 4.243404056743265
3 57 25 32 0.026021971 4.145183882891805
3 57 28 35 0.028140234 4.482613728130125
3 57 31 38 0.028201437 4.156986480365926
3 57 34 41 0.032984133 4.150883315488677
3 57 37 44 0.041036127 4.035699438717615
3 57 40 47 0.061725039 4.264094689974081
3 57 43 50 0.10159864 4.247147704822522
3 57 46 53 0.273381441 5.290239991099275
3 57 49 56 1.96718881 7.039877686087826
4 16 5 8 2.33155058 9.341751177925943
4 16 6 9 0.695036906 6.368608277101524
4 16 7 10 0.451890555 6.3884522151657785
4 16 8 11 0.30370433 5.2382800344626474
4 16 9 12 0.35293448 6.087399676051561
4 16 10 13 0.376444979 5.321865512282249
4 16 11 14 0.759857006 6.962553464499311
4 16 12 15 1.54615956 6.194949410401149
4 26 5 10 2.43915065 9.034058836424657
4 26 6 11 0.778344224 6.541407696526298
4 26 7 12 0.442449697 6.119820031488174
4 26 8 13 0.243505191 4.7735633035370535
4 26 9 14 0.212029946 5.349873662271913
4 26 10 15 0.14022126 4.228973570813799
4 26 11 16 0.128619589 4.351526909801487
4 26 12 17 0.119118607 4.264179940147808
4 26 13 18 0.124494914 4.4566397164905265
4 26 14 19 0.123421212 4.175652631406824
4 26 15 20 0.144857329 4.368794117808379
4 26 16 21 0.179865739 4.538316393388952
4 26 17 22 0.248882971 4.878986818974536
4 26 18 23 0.429608886 5.942210118064833
4 26 19 24 0.629664978 5.291868567039385
4 26 20 25 1.59605708 5.91143214832267
4 58 5 12 2.48554971 8.894909249250492
4 58 8 15 0.250787297 4.853017757884638
4 58 11 18 0.108054433 4.517020474996998
4 58 14 21 0.06069 4.192592032781493
4 58 17 24 0.043283558 4.2567231241462276
4 58 20 27 0.033905304 4.2668079430849835
4 58 23 30 0.027611102 4.0699691197297705
4 58 26 33 0.025637215 4.083893968686386
4 58 29 36 0.026586967 4.235185224953801
4 58 32 39 0.028450738 4.1937342846193655
4 58 35 42 0.031177703 3.9235534005990487
4 58 38 45 0.040807884 4.013252872378858
4 58 41 48 0.060096773 4.1516106718681485
4 58 44 51 0.101717588 4.252120111197186
4 58 47 54 0.263614392 5.10123654951296
4 58 50 57 1.77841756 6.364331696859723
5 17 6 9 2.04406036 8.189873056831445
5 17 7 10 0.818933572 7.503870772921974
5 17 8 11 0.375413247 5.307279744759718
5 17 9 12 0.354834852 6.120177215659415
5 17 10 13 0.293783621 5.06716804576491
5 17 11 14 0.449395675 6.353181680107632
5 17 12 15 0.663375605 6.078496454446164
5 17 13 16 2.83732893 11.368237558882749
5 27 6 11 2.19873929 8.143629878629504
5 27 7 12 0.856213837 7.195844217152067
5 27 8 13 0.365920272 5.061289962897638
5 27 9 14 0.291473549 5.71391283998586
5 27 10 15 0.174759112 4.409467568938717
5 27 11 16 0.148910306 4.491029024384716
5 27 12 17 0.129623355 4.385486859402506
5 27 13 18 0.127671397 4.570350709507936
5 27 14 19 0.118596154 4.245477290256426
5 27 15 20 0.132839797 4.4943072500260195
5 27 16 21 0.152963524 4.613271199349815
5 27 17 22 0.196704161 4.963178221029184
5 27 18 23 0.303829434 5.956131903064166
5 27 19 24 0.406562563 5.623440888243105
5 27 20 25 0.789347809 6.633884692422115
5 27 21 26 2.41478674 8.943820459215216
5 59 6 13 2.24382363 8.029856526254635
5 59 9 16 0.293430768 5.67821713798258
5 59 12 19 0.10729967 4.485468970536554
5 59 15 22 0.065450689 4.521470378010535
5 59 18 25 0.042754774 4.204719841965069
5 59 21 28 0.032721783 4.1178679187275
5 59 24 31 0.02885433 4.253225100196737
5 59 27 34 0.026265658 4.184002134778654
5 59 30 37 0.0268109 4.270856752773412
5 59 33 40 0.028233524 4.1617162118755475
5 59 36 43 0.033097865 4.165195902126536
5 59 39 46 0.041656798 4.096739351337252
5 59 42 49 0.061869492 4.274073805098671
5 59 45 52 0.106891581 4.468409546712444
5 59 48 55 0.261695257 5.064099117329631
5 59 51 58 2.70993337 9.697899543383324
6 18 7 10 2.78922399 11.1754969922556
6 18 8 11 0.661084354 6.057501770627867
6 18 9 12 0.481531324 6.807488714782963
6 18 10 13 0.287005494 4.950259184652682
6 18 11 14 0.322307829 5.559152434875396
6 18 12 15 0.360765701 5.100204941679484
6 18 13 16 0.827756467 7.58471477075854
6 18 14 17 2.35579065 9.438873112323568
6 28 7 12 2.89584711 10.725558576314386
6 28 8 13 0.706786752 5.940020053820844
6 28 9 14 0.482983846 6.680475171928978
6 28 10 15 0.248042589 4.862512358369903
6 28 11 16 0.191734571 4.837787071548394
6 28 12 17 0.154173568 4.649765266622651
6 28 13 18 0.141206618 4.7773780249683355
6 28 14 19 0.121112743 4.335565552717359
6 28 15 20 0.128476544 4.599173172872288
6 28 16 21 0.136055319 4.603096514716165
6 28 17 22 0.162035375 4.886871779728003
6 28 18 23 0.226387861 5.712148108654307
6 28 19 24 0.282178479 5.531696580555858
6 28 20 25 0.474802456 6.5673128514507315
6 28 21 26 0.985797139 8.284896056822546
6 28 22 27 2.6698734 9.888603387988825
6 60 7 14 2.94979793 10.55629054024309
6 60 10 17 0.260156729 5.034326860942168
6 60 13 20 0.114207381 4.7742333567451425
6 60 16 23 0.064587857 4.461864140264136
6 60 19 26 0.044337909 4.360413312523687
6 60 22 29 0.033740971 4.24612748112213
6 60 25 32 0.027897994 4.112257963568656
6 60 28 35 0.027892625 4.443170719141338
6 60 31 38 0.025835448 4.115471601166926
6 60 34 41 0.027773914 4.09396815505699
6 60 37 44 0.031203683 3.9268228498380626
6 60 40 47 0.041398267 4.071314110510039
6 60 43 50 0.056758553 3.9209994579009084
6 60 46 53 0.104853523 4.383212211817063
6 60 49 56 0.238936679 4.623694900292264
6 60 52 59 2.30565647 8.251134539005957
7 19 8 11 1.40427155 5.62645113465237
7 19 9 12 0.768290342 7.03982794156597
7 19 10 13 0.342831386 4.84666453654924
7 19 11 14 0.305939135 5.276825860965737
7 19 12 15 0.281163977 4.849504935043945
7 19 13 16 0.465502607 6.580888066701449
7 19 14 17 0.835341383 7.654215193544319
7 19 15 18 2.99123051 11.984870231826804
7 29 8 13 1.50020479 5.556417082948975
7 29 9 14 0.813612675 6.837812949757753
7 29 10 15 0.346638271 4.794587608331499
7 29 11 16 0.244043236 4.78411088922549
7 29 12 17 0.182487946 4.604479104982177
7 29 13 18 0.156100223 4.707871812485071
7 29 14 19 0.123868878 4.190798307588414
7 29 15 20 0.124729516 4.465037943833116
7 29 16 21 0.121028917 4.3325647692405775
7 29 17 22 0.132607934 4.486462736668981
7 29 18 23 0.167048905 5.0380762822869025
7 29 19 24 0.19307445 4.871594481812656
7 29 20 25 0.282861369 5.545083640728848
7 29 21 26 0.46710135 6.46079366275432
7 29 22 27 0.823616267 6.921885743881435
7 29 23 28 2.20492617 8.16654467396365
7 61 8 15 1.54887716 5.5428872418073
7 61 11 18 0.250526651 4.847973963076635
7 61 14 21 0.102170297 4.271044793558116
7 61 17 24 0.061908152 4.2767445186921345
7 61 20 27 0.043026852 4.231477363012009
7 61 23 30 0.031695098 3.988664897482027
7 61 26 33 0.027251123 4.016907006752491
7 61 29 36 0.026267477 4.184291893363158
7 61 32 39 0.02620596 4.174492509722163
7 61 35 42 0.026472777 3.902176193601129
7 61 38 45 0.031721688 3.992011112080387
7 61 41 48 0.04154829 4.086068128034518
7 61 44 51 0.059114778 4.083772405049377
7 61 47 54 0.107556958 4.496224430832857
7 61 50 57 0.244866345 4.738440641964837
7 61 53 60 1.97708986 7.075310065841878
8 20 9 12 2.65304176 10.62985988773476
8 20 10 13 0.609326301 5.5832438400102085
8 20 11 14 0.400484091 5.66171045174335
8 20 12 15 0.29002416 5.0023250140681235
8 20 13 16 0.345545992 5.959963333029165
8 20 14 17 0.433664731 6.130790698637686
8 20 15 18 0.89550888 8.20552867934457
8 20 16 19 2.08943208 8.371662515910872
8 30 9 14 2.77178961 10.266077832843393
8 30 10 15 0.665500906 5.593043044864459
8 30 11 16 0.39218058 5.42451398592471
8 30 12 17 0.260309088 5.102979139586382
8 30 13 18 0.202841741 5.11803973097876
8 30 14 19 0.145461141 4.387004658704533
8 30 15 20 0.13815262 4.674053526866573
8 30 16 21 0.122458804 4.3837515285189
8 30 17 22 0.123991538 4.438619980568398
8 30 18 23 0.1410437 4.771866095824393
8 30 19 24 0.152523235 4.599992395946394
8 30 20 25 0.202786247 5.116639523627794
8 30 21 26 0.289477533 5.674783864165082
8 30 22 27 0.425761527 5.888994702083823
8 30 23 28 0.772297707 6.490591191924117
8 30 24 29 2.63146948 9.746364009363585
8 62 9 16 2.81600444 10.077490640606198
8 62 12 19 0.267890295 5.183980107253814
8 62 15 22 0.117081423 4.894377493358227
8 62 18 25 0.062440361 4.313510628647228
8 62 21 28 0.042310887 4.161065758411959
8 62 24 31 0.033840748 4.258683902858894
8 62 27 34 0.028441192 4.192327172175359
8 62 30 37 0.026835344 4.274750572916145
8 62 33 40 0.026322929 4.19312514956324
8 62 36 43 0.028433944 4.191258792645277
8 62 39 46 0.03276636 4.123477704667744
8 62 42 49 0.043459984 4.274073745689416
8 62 45 52 0.063262278 4.370290372687559
8 62 48 55 0.111388353 4.656388981072098
8 62 51 58 0.297285748 5.752815359742952
8 62 54 61 2.51683858 9.006881123336083
9 21 10 13 1.13145165 4.533352128330732
9 21 11 14 0.548690315 5.027637599541286
9 21 12 15 0.327064756 4.623769056139832
9 21 13 16 0.304828408 5.257668086468947
9 21 14 17 0.290417475 5.0091088953244585
9 21 15 18 0.452902661 6.402760526649922
9 21 16 19 0.685719192 6.283230263370459
9 21 17 20 1.60567572 6.433410957216758
9 31 10 15 1.23444981 4.572121125094607
9 31 11 16 0.579344987 4.868966249187105
9 31 12 17 0.342174524 4.732846514391738
9 31 13 18 0.247046694 4.842989292735643
9 31 14 19 0.163896332 4.135381281990108
9 31 15 20 0.149301162 4.502816963631545
9 31 16 21 0.124137983 4.1999028122611985
9 31 17 22 0.11875905 4.251308603038067
9 31 18 23 0.125318467 4.486121073523593
9 31 19 24 0.128672679 4.353323079152031
9 31 20 25 0.15818241 4.770669092958032
9 31 21 26 0.20423688 5.153241444378755
9 31 22 27 0.267677133 5.247418890896693
9 31 23 28 0.403082635 5.575307658122402
9 31 24 29 0.902929713 7.588456613304914
9 31 25 30 2.58131072 9.560587378878665
9 63 10 17 1.2883552 4.610570667202616
9 63 13 20 0.248375361 4.806344069149593
9 63 16 23 0.102872946 4.300417766342456
9 63 19 26 0.060483559 4.1783306570715
9 63 22 29 0.041383651 4.069876699445484
9 63 25 32 0.031396532 3.9510919035830456
9 63 28 35 0.029288063 4.317158800351398
9 63 31 38 0.025353729 4.038735913663364
9 63 34 41 0.025429252 4.050766390616383
9 63 37 44 0.026382705 3.888899278447496
9 63 40 47 0.032050852 4.033434706742084
9 63 43 50 0.03930265 3.865220578567634
9 63 46 53 0.060555356 4.183290543876207
9 63 49 56 0.100432181 4.198385992415549
9 63 52 59 0.268509557 5.195963527142833
9 63 55 62 1.60753564 5.7528053352575315
10 22 11 14 2.43232058 9.745503202125905
10 22 12 15 0.817529142 7.4910020109247375
10 22 13 16 0.492321651 6.960033368931606
10 22 14 17 0.307060901 5.296174035689289
10 22 15 18 0.36654382 6.322133023462887
10 22 16 19 0.41818035 5.91188541946025
10 22 17 20 0.673931816 6.175222789650915
10 22 18 21 2.24906597 9.011262657008563
10 32 11 16 2.54360549 9.420935788985716
10 32 12 17 0.898715966 7.553043185406187
10 32 13 18 0.496498529 6.867405863267237
10 32 14 19 0.260328875 5.103367034795922
10 32 15 20 0.215760974 5.444013800525776
10 32 16 21 0.158018363 4.765721551997616
10 32 17 22 0.137338363 4.646505147381437
10 32 18 23 0.130039717 4.65513127310075
10 32 19 24 0.124467392 4.455654490393039
10 32 20 25 0.140005688 4.7367475171862905
10 32 21 26 0.163839905 4.941295122363354
10 32 22 27 0.195334274 4.928613658240546
10 32 23 28 0.257635114 5.050559788242811
10 32 24 29 0.465826331 6.443158015426193
10 32 25 30 0.877588275 7.375480564324503
10 32 26 31 2.31614565 8.578476313395827
11 23 12 15 2.32584039 9.318872337288191
11 23 13 16 0.915454555 8.388290471992997
11 23 14 17 0.381888394 5.398819978867231
11 23 15 18 0.355326013 6.1286487407773045
11 23 16 19 0.299296465 5.162253356726091
11 23 17 20 0.357788719 5.058118850164673
11 23 18 21 0.653232304 5.985553604723975
11 23 19 22 1.81910358 7.288545724465604
11 33 12 17 2.48724247 9.212179991602483
11 33 13 18 0.978170943 8.220803518236922
11 33 14 19 0.397336277 5.495825906784459
11 33 15 20 0.3025128 5.9303212182045195
11 33 16 21 0.199167475 5.025331793857552
11 33 17 22 0.160033722 4.826503347473578
11 33 18 23 0.138468247 4.684731988791684
11 33 19 24 0.124665922 4.462761420744546
11 33 20 25 0.129848733 4.648294472686443
11 33 21 26 0.139728867 4.727381960663651
11 33 22 27 0.15423407 4.651589963954435
11 33 23 28 0.18374918 4.636302169062766
11 33 24 29 0.291112624 5.706837432976039
11 33 25 30 0.460183094 6.365102600157065
11 33 26 31 0.863058389 7.253367615863733
11 33 27 32 2.06688448 7.6552696736517625
12 24 13 16 2.85833982 11.452421238229208
12 24 14 17 0.653986648 5.992465642632624
12 24 15 18 0.490399471 6.932859189380658
12 24 16 19 0.324144821 5.590836798799572
12 24 17 20 0.316867322 5.46531478957263
12 24 18 21 0.43948516 6.21307507507982
12 24 19 22 0.86542996 7.929916179886484
12 24 20 23 4.03660597 16.173343567382695
12 34 13 18 2.98823391 11.06773825550271
12 34 14 19 0.716559671 6.02215421193869
12 34 15 20 0.481191248 6.655680540532033
12 34 16 21 0.277367806 5.437390368832772
12 34 17 22 0.204308043 5.155037007065113
12 34 18 23 0.160037313 4.82661164948208
12 34 19 24 0.13510062 4.570796626172278
12 34 20 25 0.130608443 4.675490392987372
12 34 21 26 0.129909869 4.650483004867826
12 34 22 27 0.134101709 4.537000933534847
12 34 23 28 0.146946517 4.431802543466952
12 34 24 29 0.209713661 5.291429879449766
12 34 25 30 0.296797873 5.818288428687547
12 34 26 31 0.472412787 6.534259728544364
12 34 27 32 0.848322295 7.1295216416327545
12 34 28 33 2.63285743 9.75150466025451
13 25 14 17 1.3454242 5.390669288058109
13 25 15 18 0.766413814 7.022633355710391
13 25 16 19 0.387016735 5.471320191715397
13 25 17 20 0.300595335 5.1846562140984656
13 25 18 21 0.296840517 5.119893264678413
13 25 19 22 0.406168782 5.742075877419226
13 25 20 23 0.875014792 8.017741790128003
13 25 21 24 1.71783897 6.8828119617652
13 35 14 19 1.47124519 5.449157315997179
13 35 15 20 0.808067745 6.791211913018127
13 35 16 21 0.396039064 5.4778832792805074
13 35 17 22 0.26685038 5.231211606913621
13 35 18 23 0.189741985 4.787510761233191
13 35 19 24 0.150042046 4.525161498654543
13 35 20 25 0.133966738 4.532434522282026
13 35 21 26 0.122614823 4.389336660068347
13 35 22 27 0.117313439 4.199558959697653
13 35 23 28 0.116371575 3.937145531918019
13 35 24 29 0.150437174 4.537078278386009
13 35 25 30 0.186967164 4.71749734065052
13 35 26 31 0.256636276 5.030979029395751
13 35 27 32 0.381681877 5.279299347154046
13 35 28 33 0.722626032 6.073137490688257
13 35 29 34 1.7048875 6.314515253284967
14 26 15 18 2.76889769 11.094056238365596
14 26 16 19 0.751693569 6.887752066186519
14 26 17 20 0.439081001 6.20736141182605
14 26 18 21 0.308118209 5.314410441428638
14 26 19 22 0.308804808 5.326252873287881
14 26 20 23 0.448730653 6.343780153074091
14 26 21 24 0.583717821 5.348593886483872
14 26 22 25 1.48276221 5.9409372203504045
14 36 15 20 2.88899447 10.700177957472807
14 36 16 21 0.8193152 6.885738455946945
14 36 17 22 0.46013367 6.364418983494454
14 36 18 23 0.279250162 5.474291206506466
14 36 19 24 0.201186053 5.076263926233992
14 36 20 25 0.163343395 4.9263207335463886
14 36 21 26 0.13687872 4.630954258912949
14 36 22 27 0.122283767 4.377485595068355
14 36 23 28 0.111662939 3.9972836866850563
14 36 24 29 0.133826738 4.527697967204306
14 36 25 30 0.152843366 4.609647319445143
14 36 26 31 0.192171706 4.8488167259320125
14 36 27 32 0.260705161 5.110743571755394
