64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1392
# a b m n r rhoa
1 13 2 5 1.88831535 7.565854370252667
1 13 3 6 0.646088754 5.920097409139034
1 13 4 7 0.401096583 5.670369353397471
1 13 5 8 0.296765691 5.1186026688483865
1 13 6 9 0.241884362 4.172011719797789
1 13 7 10 0.377926641 5.342812015326613
1 13 8 11 0.692398267 6.34443048448272
1 13 9 12 2.18025998 8.735579837324307
1 23 2 7 2.01925901 7.478875772728759
1 23 3 8 0.701249449 5.89348311637683
1 23 4 9 0.397680522 5.500587391448193
1 23 5 10 0.255798398 5.014553656050667
1 23 6 11 0.181247187 4.573172659734452
1 23 7 12 0.142777345 4.30606327825013
1 23 8 13 0.122242081 4.1357596390829166
1 23 9 14 0.12376425 4.430483578081453
1 23 10 15 0.107013909 3.83085880172023
1 23 11 16 0.123040629 4.162776543255796
1 23 12 17 0.138543685 4.178379100773679
1 23 13 18 0.181898958 4.5896179429244635
1 23 14 19 0.257959915 5.0569270370401975
1 23 15 20 0.368241781 5.093400318894741
1 23 16 21 0.73177663 6.150041500944031
1 23 17 22 1.87220071 6.934205301233041
1 57 4 16 0.467560736 5.3965643308742575
1 57 5 17 0.301002029 4.892790017626377
1 57 6 18 0.213007606 4.545782943664095
1 57 7 19 0.162259528 4.341026958909204
1 57 8 20 0.127438673 4.134057152344258
1 57 9 21 0.115220877 4.4173471817089585
1 57 10 22 0.093449356 4.147375087192234
1 57 11 23 0.082240393 4.152583587691212
1 57 12 24 0.07324248 4.145041380330172
1 57 13 25 0.065345225 4.090268136233469
1 57 14 26 0.06031547 4.125972482368136
1 57 15 27 0.057998128 4.288135564410829
1 57 16 28 0.052365141 4.141517155494972
1 57 17 29 0.050528409 4.23305809365281
1 57 18 30 0.047298024 4.1579324056044245
1 57 19 31 0.044809229 4.096033012217756
1 57 20 32 0.044300751 4.173600421630317
1 57 21 33 0.043262193 4.164118091448015
1 57 22 34 0.04311884 4.203906004508422
1 57 23 35 0.043334396 4.242999460448771
1 57 24 36 0.043166819 4.208583755723212
1 57 25 37 0.044274583 4.261563718270517
1 57 26 38 0.043912341 4.137008081699885
1 57 27 39 0.045547292 4.163499703356237
1 57 28 40 0.04777043 4.199461248669876
1 57 29 41 0.048992349 4.104373432013525
1 57 30 42 0.05357918 4.237534529838334
1 57 31 43 0.057529011 4.253451043359223
1 57 32 44 0.059798643 4.0906181366232515
1 57 33 45 0.065673332 4.110805912442444
1 57 34 46 0.073206183 4.142987209485849
1 57 35 47 0.081598007 4.120147439671314
1 57 36 48 0.094599463 4.19841797634179
1 57 37 49 0.110728292 4.2451100992890956
1 57 38 50 0.126941552 4.1179307554095494
1 57 39 51 0.161579101 4.3228230852324
1 57 40 52 0.206677059 4.410683107949009
1 57 41 53 0.300278834 4.881034478009077
1 57 42 54 0.459508968 5.303631198034646
2 14 3 6 1.54384273 6.185666639713174
2 14 4 7 0.666543508 6.107523881756411
2 14 5 8 0.379002272 5.3580183903406935
2 14 6 9 0.249568109 4.304540678143435
2 14 7 10 0.276705672 4.772608270221797
2 14 8 11 0.362053632 5.118412637235172
2 14 9 12 0.67579989 6.192339911685639
2 14 10 13 1.61825589 6.483815533005977
2 24 11 16 0.114336231 4.092981566366923
2 24 12 17 0.120438449 4.074738194026215
2 24 13 18 0.145176831 4.378430071114049
2 24 14 19 0.188074744 4.7454434547850735
2 24 15 20 0.245679991 4.816197078323943
2 24 16 21 0.391857502 5.420045276307461
2 24 17 22 0.71767292 6.031510246649563
2 24 18 23 2.53561318 9.391334091862602
2 58 5 17 0.438914015 5.065925205639613
2 58 6 18 0.283975141 4.616017838002159
2 58 7 19 0.204451254 4.3631823327657875
2 58 8 20 0.153521651 4.107257268536182
2 58 9 21 0.136081642 4.414431445098701
2 58 10 22 0.107488843 4.120915844888134
2 58 11 23 0.092825779 4.11970012156972
2 58 12 24 0.081331973 4.10671452207609
2 58 13 25 0.071583944 4.051179179722446
2 58 14 26 0.065293008 4.08699962608189
2 58 15 27 0.062284168 4.260644296648836
2 58 16 28 0.055571316 4.1087073793263205
2 58 17 29 0.05313644 4.202518577042106
2 58 18 30 0.049258928 4.12670630209356
2 58 19 31 0.046266046 4.067212024387846
2 58 20 32 0.045376614 4.1478979459044565
2 58 21 33 0.043969769 4.1424184081526665
2 58 22 34 0.043496022 4.186624846230538
2 58 23 35 0.043219911 4.213760002987548
2 58 24 36 0.042848357 4.195409937918975
2 58 25 37 0.043517933 4.24281589770261
2 58 26 38 0.042836365 4.1231308470278085
2 58 27 39 0.044086643 4.153429178053105
2 58 28 40 0.045824751 4.1888623629890755
2 58 29 41 0.046583936 4.095157486388914
2 58 30 42 0.050368497 4.219661337268253
2 58 31 43 0.053534449 4.233996790793911
2 58 32 44 0.05516109 4.078377009007369
2 58 33 45 0.05982879 4.092680388520251
2 58 34 46 0.065737252 4.11480696897363
2 58 35 47 0.072093275 4.080003955607766
2 58 36 48 0.081936233 4.1372255649732015
2 58 37 49 0.093734407 4.160025933239576
2 58 38 50 0.105356829 4.039178521935245
2 58 39 51 0.129120248 4.1886067407251195
2 58 40 52 0.158119397 4.23026353869011
2 58 41 53 0.213385796 4.55385387448083
2 58 42 54 0.294755057 4.791245445506594
2 58 43 55 0.422913922 4.881252874269019
3 15 4 7 2.11185308 8.461496039127974
3 15 5 8 0.7048237 6.458284460821599
3 15 6 9 0.352778859 4.987293622992863
3 15 7 10 0.291319078 5.024659707503895
3 15 8 11 0.301072092 5.192879299605314
3 15 9 12 0.457997143 6.474782069162626
3 15 10 13 0.780863596 7.155036398560482
3 15 11 14 2.17418825 8.711252425615507
3 25 4 9 2.20025833 8.149256057043242
3 25 5 10 0.73691762 6.193247720656101
3 25 6 11 0.374138932 5.174967789871018
3 25 7 12 0.235652768 4.619628029620654
3 25 8 13 0.16586746 4.1851161707221305
3 25 9 14 0.151229786 4.560982893134941
3 25 10 15 0.115234419 3.898672660304021
3 25 11 16 0.11338017 4.058756719045147
3 25 12 17 0.111927261 4.006745823613334
3 25 13 18 0.124383172 4.208198177996564
3 25 14 19 0.149035744 4.494812145337813
3 25 15 20 0.181536913 4.58048293607002
3 25 16 21 0.249337332 4.887893902175724
3 25 17 22 0.38131817 5.274268670448232
3 25 18 23 0.856456504 7.197883653859562
3 25 19 24 2.3995744 8.887477414311574
3 59 6 18 0.434178055 5.011262974958962
3 59 7 19 0.280066894 4.5524892565784825
3 59 8 20 0.194697617 4.155030532246086
3 59 9 21 0.167441203 4.479655433579153
3 59 10 22 0.127409137 4.133099016880531
3 59 11 23 0.107144573 4.107717194141474
3 59 12 24 0.092039272 4.084794160979662
3 59 13 25 0.079677161 4.0231577089184185
3 59 14 26 0.071640651 4.054388421975773
3 59 15 27 0.067732247 4.2396831857200725
3 59 16 28 0.05965875 4.081048540821783
3 59 17 29 0.056473206 4.175389300235673
3 59 18 30 0.051823282 4.098661960197028
3 59 19 31 0.048137785 4.032781645762264
3 59 20 32 0.046853228 4.118830736107973
3 59 21 33 0.045015526 4.1148907194619815
3 59 22 34 0.044157279 4.1600838381373615
3 59 23 35 0.043447234 4.181928852353261
3 59 24 36 0.042729932 4.165989106085335
3 59 25 37 0.043074954 4.21759672341702
3 59 26 38 0.042106755 4.105231962985671
3 59 27 39 0.042988165 4.13774206024767
3 59 28 40 0.044289642 4.172553836052481
3 59 29 41 0.044590649 4.076052510080338
3 59 30 42 0.047675433 4.1911101364810195
3 59 31 43 0.050253365 4.210016061391104
3 59 32 44 0.051345989 4.060913238242902
3 59 33 45 0.055141098 4.076898885330623
3 59 34 46 0.059857653 4.094654806422633
3 59 35 47 0.064612575 4.044408091371562
3 59 36 48 0.072356293 4.0948890399709885
3 59 37 49 0.081355944 4.107924895440679
3 59 38 50 0.090070783 3.997430667131594
3 59 39 51 0.107304574 4.11385132525402
3 59 40 52 0.127216303 4.126843562722473
3 59 41 53 0.163367062 4.370657483607319
3 59 42 54 0.211271063 4.508723480396201
3 59 43 55 0.278296731 4.523715245038609
3 59 44 56 0.390793539 4.5105209033282
4 16 5 8 2.06764038 8.284350389427212
4 16 6 9 0.661506953 6.061374036209824
4 16 7 10 0.37331395 5.277601632611654
4 16 8 11 0.271151021 4.6768018738108275
4 16 9 12 0.318569135 5.494667591557011
4 16 10 13 0.387602768 5.479605038069422
4 16 11 14 0.629827575 5.771096574390801
4 16 12 15 1.29847244 5.2025491318633
4 26 5 10 2.15732716 7.99024877485813
4 26 6 11 0.732312363 6.154543940689101
4 26 7 12 0.374940109 5.18604940906211
4 26 8 13 0.224115095 4.393448816706008
4 26 9 14 0.190127561 4.797239494962172
4 26 10 15 0.133540895 4.027498508983735
4 26 11 16 0.121089247 4.096756340965286
4 26 12 17 0.111331356 3.985413756262733
4 26 13 18 0.113990234 4.080595646955094
4 26 14 19 0.126321716 4.273784038186447
4 26 15 20 0.144324946 4.352737824800097
4 26 16 21 0.174464971 4.402045894696088
4 26 17 22 0.232843846 4.564563220009683
4 26 18 23 0.395967018 5.476886762485541
4 26 19 24 0.704641387 5.921989847274522
4 26 20 25 1.58843789 5.88321240275431
4 60 7 19 0.436305767 5.035820928186183
4 60 8 20 0.266962153 4.339471602971971
4 60 9 21 0.219230038 4.678575503445786
