64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1907
# a b m n r rhoa
1 4 2 5 3.29877945 8.290737028746369
1 4 3 6 -0.889571787 13.97336095439975
1 4 5 8 -1.66271909 8.125578343753894
1 4 6 9 -0.495139888 6.91345704284475
1 4 7 10 -0.214337676 6.060255014781976
1 4 8 11 -0.115217227 5.630575905269582
1 4 9 12 -0.068392901 5.252197752738298
1 4 10 13 -0.043616407 4.932899417058587
1 4 11 14 -0.029018557 4.608871210831598
1 4 12 15 -0.020215216 4.346768003446657
1 4 13 16 -0.014389683 4.068587016025728
1 4 14 17 -0.011060265 4.01519124017629
1 4 15 18 -0.008879868 4.0574532053782235
1 4 16 19 -0.006897062 3.9001966758996
1 4 17 20 -0.005328319 3.6752299849925194
1 4 18 21 -0.00433344 3.600121086630872
1 4 19 22 -0.003560509 3.5234857089937006
1 4 20 23 -0.003108032 3.62793179404317
1 4 21 24 -0.002667875 3.6412424575245503
1 4 22 25 -0.002282519 3.6140554407278866
1 4 23 26 -0.001888602 3.4445627701938806
1 4 24 27 -0.001616482 3.3742668106270712
1 4 25 28 -0.001432459 3.402153219252243
1 4 26 29 -0.001299308 3.4922892000153993
1 4 27 30 -0.001156105 3.4992407958115437
1 4 28 31 -0.001025542 3.4795820301996194
1 4 29 32 -0.00092135 3.489488260725174
1 4 30 33 -0.000816326 3.4376552505935734
1 4 31 34 -0.000757985 3.536200959683903
1 4 32 35 -0.000698189 3.5962428547280934
1 4 33 36 -0.000640584 3.631361419081377
1 4 34 37 -0.000558733 3.4755167464740575
1 4 35 38 -0.000479246 3.261956756122451
