meas,a,b,m,n,r,k,rhoa,ip,v,ctc,stk,datetime,rec_num,rec_fnd,rec_avg,rec_err,rec_ip_avg,rec_ip_err,rec_valid,k_valid,rhoa_valid,v_valid,ctc_valid,stk_valid,valid
1,1,13,2,5, 2.09403, 4.00667, 8.39007,, 1.52589, 202.000,0.154506,2020-03-17 15:08:54,41,1, 2.09233,0.162458,,,True,True,True,True,True,True,True
2,1,13,3,6,0.763879, 9.16298, 6.99941,,0.556630, 202.000,0.130949,2020-03-17 15:08:54,84,1,0.763101,0.203960,,,True,True,True,True,True,True,True
3,1,13,4,7,0.448909, 14.1372, 6.34630,,0.327115, 202.000,0.131085,2020-03-17 15:08:54,129,1,0.448935,0.0114919,,,True,True,True,True,True,True,True
4,1,13,5,8,0.317231, 17.2480, 5.47158,,0.231162, 202.000,0.134754,2020-03-17 15:08:54,176,1,0.317216,0.00937185,,,True,True,True,True,True,True,True
5,1,13,6,9,0.300003, 17.2480, 5.17443,,0.218609, 202.000,0.134761,2020-03-17 15:08:54,226,1,0.300039,0.0244011,,,True,True,True,True,True,True,True
6,1,13,7,10,0.403489, 14.1372, 5.70419,,0.294018, 202.000,0.141726,2020-03-17 15:08:54,278,1,0.403410,0.0392115,,,True,True,True,True,True,True,True
7,1,13,8,11,0.749444, 9.16298, 6.86714,,0.546111, 202.000,0.133471,2020-03-17 15:08:54,332,1,0.748511,0.249189,,,True,True,True,True,True,True,True
8,1,13,9,12, 2.13851, 4.00667, 8.56830,, 1.55831, 202.000,0.142109,2020-03-17 15:08:54,389,1, 2.13054,0.748069,,,True,True,True,True,True,True,True
9,1,23,2,7, 2.22567, 3.70377, 8.24338,, 1.81980, 176.000,0.198005,2020-03-17 15:08:57,42,1, 2.22476,0.0819631,,,True,True,True,True,True,True,True
10,1,23,3,8,0.821863, 8.40426, 6.90715,,0.671988, 176.000,0.185747,2020-03-17 15:08:57,86,1,0.821122,0.180471,,,True,True,True,True,True,True,True
11,1,23,4,9,0.445689, 13.8317, 6.16463,,0.364414, 176.000,0.181634,2020-03-17 15:08:57,132,1,0.445625,0.0290574,,,True,True,True,True,True,True,True
12,1,23,5,10,0.273127, 19.6035, 5.35425,,0.223320, 176.000,0.180369,2020-03-17 15:08:57,180,1,0.273165,0.0278282,,,True,True,True,True,True,True,True
13,1,23,6,11,0.195704, 25.2317, 4.93794,,0.160015, 176.000,0.186670,2020-03-17 15:08:57,231,1,0.195751,0.0486684,,,True,True,True,True,True,True,True
14,1,23,7,12,0.149872, 30.1593, 4.52002,,0.122541, 176.000,0.185570,2020-03-17 15:08:57,284,1,0.149899,0.0366260,,,True,True,True,True,True,True,True
15,1,23,8,13,0.132648, 33.8325, 4.48780,,0.108458, 176.000,0.183389,2020-03-17 15:08:57,339,1,0.132672,0.0373929,,,True,True,True,True,True,True,True
16,1,23,9,14,0.125611, 35.7978, 4.49658,,0.102704, 176.000,0.180811,2020-03-17 15:08:57,397,1,0.125629,0.0301689,,,True,True,True,True,True,True,True
17,1,23,10,15,0.121310, 35.7978, 4.34264,,0.103747, 181.000,0.176004,2020-03-17 15:09:00,456,1,0.121302,0.0138283,,,True,True,True,True,True,True,True
18,1,23,11,16,0.132840, 33.8325, 4.49433,,0.113608, 181.000,0.171554,2020-03-17 15:09:00,500,1,0.132886,0.0689770,,,True,True,True,True,True,True,True
19,1,23,12,17,0.156488, 30.1593, 4.71957,,0.133832, 181.000,0.173202,2020-03-17 15:09:00,545,1,0.156474,0.0182772,,,True,True,True,True,True,True,True
20,1,23,13,18,0.197244, 25.2317, 4.97680,,0.168688, 181.000,0.178673,2020-03-17 15:09:00,591,1,0.197172,0.0730743,,,True,True,True,True,True,True,True
21,1,23,14,19,0.283047, 19.6035, 5.54872,,0.242068, 181.000,0.174290,2020-03-17 15:09:00,638,1,0.282980,0.0473232,,,True,True,True,True,True,True,True
22,1,23,15,20,0.425985, 13.8317, 5.89209,,0.364313, 181.000,0.176908,2020-03-17 15:09:00,686,1,0.425881,0.0489418,,,True,True,True,True,True,True,True
23,1,23,16,21,0.837751, 8.40426, 7.04067,,0.716464, 181.000,0.173365,2020-03-17 15:09:00,735,1,0.837121,0.150342,,,True,True,True,True,True,True,True
