meas,a,b,m,n,r,k,rhoa,ip,v,ctc,stk,datetime,rec_num,rec_fnd,rec_avg,rec_err,rec_ip_avg,rec_ip_err,rec_valid,k_valid,rhoa_valid,v_valid,ctc_valid,stk_valid,valid
1,1,13,2,5, 1.74610, 4.00667, 6.99604,, 1.19834, 220.000,0.0947809,2020-04-02 12:20:15,64,1, 1.73480, 1.30289,,,True,True,True,True,True,True,True
2,1,13,3,6,0.662214, 9.16298, 6.06785,,0.454476, 220.000,0.0817865,2020-04-02 12:20:15,129,1,0.662287,0.0221223,,,True,True,True,True,True,True,True
3,1,13,4,7,0.412314, 14.1372, 5.82895,,0.282970, 220.000,0.0656607,2020-04-02 12:20:15,196,1,0.412059,0.123511,,,True,True,True,True,True,True,True
4,1,13,5,8,0.298553, 17.2480, 5.14944,,0.204896, 220.000,0.0740374,2020-04-02 12:20:15,266,1,0.298440,0.0761397,,,True,True,True,True,True,True,True
5,1,13,6,9,0.267139, 17.2480, 4.60760,,0.183337, 220.000,0.0716715,2020-04-02 12:20:15,339,1,0.267345,0.154364,,,True,True,True,True,True,True,True
6,1,13,7,10,0.390604, 14.1372, 5.52204,,0.268071, 220.000,0.0693100,2020-04-02 12:20:15,415,1,0.391106,0.256673,,,True,True,True,True,True,True,True
7,1,13,8,11,0.736263, 9.16298, 6.74636,,0.505295, 220.000,0.0735609,2020-04-02 12:20:15,494,1,0.735618,0.175458,,,True,True,True,True,True,True,True
8,1,13,9,12, 2.18084, 4.00667, 8.73790,, 1.49670, 220.000,0.0702544,2020-04-02 12:20:15,576,1, 2.17217,0.798147,,,True,True,True,True,True,True,True
9,1,23,2,7, 1.86849, 3.70377, 6.92047,, 1.42790, 192.000,0.0661323,2020-04-02 12:20:17,65,1, 1.85744, 1.18955,,,True,True,True,True,True,True,True
10,1,23,3,8,0.717023, 8.40426, 6.02605,,0.547947, 192.000,0.0497493,2020-04-02 12:20:17,131,1,0.716622,0.111824,,,True,True,True,True,True,True,True
11,1,23,4,9,0.405753, 13.8317, 5.61224,,0.310075, 192.000,0.0538257,2020-04-02 12:20:18,199,1,0.405587,0.0816572,,,True,True,True,True,True,True,True
12,1,23,5,10,0.257183, 19.6035, 5.04170,,0.196539, 192.000,0.0600390,2020-04-02 12:20:18,270,1,0.257162,0.0163636,,,True,True,True,True,True,True,True
