meas,a,b,m,n,r,k,rhoa,ip,v,ctc,stk,datetime,rec_num,rec_fnd,rec_avg,rec_err,rec_ip_avg,rec_ip_err,rec_valid,k_valid,rhoa_valid,v_valid,ctc_valid,stk_valid,valid
1,1,4,2,5, 3.61878, 2.51327, 9.09499,, 1.71116, 306.000,0.381898,2019-12-12 10:22:16,62,1, 3.61136,0.410828,,,True,True,True,True,True,True,True
2,1,4,3,6,-0.932961,-15.7080, 14.6549,,-0.441157, 306.000,-0.396345,2019-12-12 10:22:16,123,1,-0.931992,0.207938,,,True,True,True,True,True,True,True
3,1,4,5,8,-1.80918,-4.88692, 8.84133,,-0.855483, 306.000,-0.374923,2019-12-12 10:22:16,245,1,-1.80426,0.545019,,,True,True,True,True,True,True,True
4,1,4,6,9,-0.521851,-13.9626, 7.28641,,-0.246760, 306.000,-0.378748,2019-12-12 10:22:16,306,1,-0.521188,0.254232,,,True,True,True,True,True,True,True
5,1,4,7,10,-0.219528,-28.2743, 6.20700,,-0.103805, 306.000,-0.378787,2019-12-12 10:22:16,367,1,-0.219492,0.0324617,,,True,True,True,True,True,True,True
6,1,4,8,11,-0.117305,-48.8692, 5.73262,,-0.0554685, 306.000,-0.378052,2019-12-12 10:22:16,428,1,-0.117275,0.0514363,,,True,True,True,True,True,True,True
7,1,4,9,12,-0.0693309,-76.7945, 5.32423,,-0.0327835, 306.000,-0.384645,2019-12-12 10:22:16,489,1,-0.0692923,0.111385,,,True,True,True,True,True,True,True
8,1,4,10,13,-0.0441227,-113.097, 4.99016,,-0.0208636, 306.000,-0.370022,2019-12-12 10:22:16,550,1,-0.0440851,0.170618,,,True,True,True,True,True,True,True
9,1,4,11,14,-0.0292461,-158.825, 4.64500,,-0.0161959, 306.000,-0.153743,2019-12-12 10:22:19,611,1,-0.0292461,0.000222252,,,True,True,True,True,True,True,True
10,1,4,12,15,-0.0204246,-215.025, 4.39178,,-0.0113107, 306.000,-0.155605,2019-12-12 10:22:19,672,1,-0.0204395,0.145733,,,True,True,True,True,True,True,True
11,1,4,13,16,-0.0144760,-282.743, 4.09299,,-0.00801650, 306.000,-0.163413,2019-12-12 10:22:19,733,1,-0.0144975,0.296837,,,True,True,True,True,True,True,True
12,1,4,14,17,-0.0111475,-363.028, 4.04684,,-0.00617320, 306.000,-0.149031,2019-12-12 10:22:19,794,1,-0.0111448,0.0468827,,,True,True,True,True,True,True,True
13,1,4,15,18,-0.00892900,-456.927, 4.07990,,-0.00494470, 306.000,-0.161789,2019-12-12 10:22:19,855,1,-0.00893940,0.232711,,,True,True,True,True,True,True,True
14,1,4,16,19,-0.00695785,-565.487, 3.93457,,-0.00385310, 306.000,-0.119384,2019-12-12 10:22:19,916,1,-0.00694904,0.253431,,,True,True,True,True,True,True,True
15,1,4,17,20,-0.00537101,-689.754, 3.70468,,-0.00297430, 306.000,-0.117675,2019-12-12 10:22:19,977,1,-0.00536369,0.273002,,,True,True,True,True,True,True,True
16,1,4,18,21,-0.00440406,-830.777, 3.65879,,-0.00243880, 306.000,-0.0697064,2019-12-12 10:22:19,1038,1,-0.00439210,0.544728,,,True,True,True,True,True,True,True
17,1,4,19,22,-0.00358965,-989.602, 3.55232,,-0.00185570, 298.000,-0.145498,2019-12-12 10:22:21,1099,1,-0.00359604,0.355669,,,True,True,True,True,True,True,True
18,1,4,20,23,-0.00312607,-1167.28, 3.64899,,-0.00161610, 298.000,-0.136130,2019-12-12 10:22:22,1160,1,-0.00313775,0.744324,,,True,True,True,True,True,True,True
19,1,4,21,24,-0.00267542,-1364.85, 3.65153,,-0.00138310, 298.000,-0.0795315,2019-12-12 10:22:22,1221,1,-0.00267980,0.327114,,,True,True,True,True,True,True,True
20,1,4,22,25,-0.00229664,-1583.36, 3.63641,,-0.00118730, 298.000,-0.294786,2019-12-12 10:22:22,1282,1,-0.00228994,0.585081,,,True,True,True,True,True,True,True
21,1,4,23,26,-0.00189891,-1823.87, 3.46336,,-0.000981700, 298.000,-0.285220,2019-12-12 10:22:22,1343,1,-0.00189540,0.370001,,,True,True,True,True,True,True,True
22,1,4,24,27,-0.00164244,-2087.41, 3.42845,,-0.000849100, 298.000,-0.494641,2019-12-12 10:22:22,1404,1,-0.00163896,0.424293,,,True,True,True,True,True,True,True
23,1,4,25,28,-0.00144402,-2375.04, 3.42960,,-0.000746500, 298.000,-0.549230,2019-12-12 10:22:22,1465,1,-0.00143409, 1.38380,,,True,True,True,True,True,True,True
24,1,4,26,29,-0.00131185,-2687.81, 3.52599,,-0.000678200, 298.000,-0.604541,2019-12-12 10:22:22,1526,1,-0.00130973,0.323349,,,True,True,True,True,True,True,True
25,1,4,27,30,-0.00114731,-3026.75, 3.47261,,-0.000562600, 290.000,-0.302169,2019-12-12 10:22:24,1587,1,-0.00115497, 1.32791,,,True,True,True,True,True,True,True
26,1,4,28,31,-0.00102487,-3392.92, 3.47729,,-0.000502500, 290.000,-0.199005,2019-12-12 10:22:24,1648,1,-0.00103331, 1.63503,,,True,True,True,True,True,True,True
27,1,4,29,32,-0.000901959,-3787.36, 3.41605,,-0.000442200, 290.000,-0.361827,2019-12-12 10:22:24,1709,1,-0.000916434, 3.15888,,,True,True,True,True,True,True,True
28,1,4,30,33,-0.000840087,-4211.13, 3.53772,,-0.000411900, 290.000,-0.339888,2019-12-12 10:22:24,1770,1,-0.000845481, 1.27608,,,True,True,True,True,True,True,True
29,1,4,31,34,-0.000776950,-4665.27, 3.62468,,-0.000380900, 290.000,-0.420058,2019-12-12 10:22:24,1831,1,-0.000770056, 1.79052,,,True,True,True,True,True,True,True
30,1,4,32,35,-0.000740182,-5150.82, 3.81254,,-0.000362900, 290.000,-0.578672,2019-12-12 10:22:24,1892,1,-0.000720191, 5.55144,,,False,True,True,True,True,True,False
31,1,4,33,36,-0.000658080,-5668.83, 3.73054,,-0.000322700, 290.000,-0.619771,2019-12-12 10:22:24,1953,1,-0.000638417, 6.16009,,,False,True,True,True,True,True,False
32,1,4,34,37,-0.000571777,-6220.35, 3.55666,,-0.000280300, 290.000,-0.677845,2019-12-12 10:22:24,2014,1,-0.000565966, 2.05330,,,True,True,True,True,True,True,True
33,1,4,35,38,-0.000495892,-6806.44, 3.37526,,-0.000286200, 297.000,-0.663871,2019-12-12 10:22:27,2075,1,-0.000490474, 2.20950,,,True,True,True,True,True,True,True
34,1,4,36,39,-0.000454364,-7428.12, 3.37507,,-0.000262200, 297.000,-0.648360,2019-12-12 10:22:27,2136,1,-0.000450429, 1.74722,,,True,True,True,True,True,True,True
35,1,4,37,40,-0.000421360,-8086.46, 3.40731,,-0.000243200, 297.000,-0.657895,2019-12-12 10:22:27,2197,1,-0.000415264, 2.93596,,,True,True,True,True,True,True,True
36,1,4,38,41,-0.000401020,-8782.50, 3.52196,,-0.000231400, 297.000,-0.777874,2019-12-12 10:22:27,2258,1,-0.000386277, 7.63338,,,False,True,True,True,True,True,False
37,1,4,39,42,-0.000379295,-9517.28, 3.60986,,-0.000218900, 297.000,-0.776610,2019-12-12 10:22:27,2319,1,-0.000373607, 3.04464,,,True,True,True,True,True,True,True
38,1,4,40,43,-0.000369454,-10291.9, 3.80237,,-0.000213200, 297.000,-0.844278,2019-12-12 10:22:27,2380,1,-0.000357111, 6.91299,,,False,True,True,True,True,True,False
39,1,4,41,44,-0.000342670,-11107.3, 3.80613,,-0.000197700, 297.000,-1.01163,2019-12-12 10:22:27,2441,1,-0.000327088, 9.52803,,,False,True,True,True,True,True,False
40,1,4,42,45,-0.000318432,-11964.6, 3.80991,,-0.000183800, 297.000,-0.816104,2019-12-12 10:22:27,2502,1,-0.000297755, 13.8882,,,False,True,True,True,True,True,False
41,1,4,43,46,-0.000264106,-12864.8, 3.39768,,-0.000136200, 291.000,-1.76211,2019-12-12 10:22:30,2563,1,-0.000256113, 6.24178,,,False,True,True,True,True,True,False
42,1,4,44,47,-0.000252069,-13809.0, 3.48083,,-0.000130000, 291.000,-1.84615,2019-12-12 10:22:30,2624,1,-0.000241655, 8.61847,,,False,True,True,True,True,True,False
43,1,4,45,48,-0.000245905,-14798.3, 3.63898,,-0.000126800, 291.000,-1.81388,2019-12-12 10:22:30,2685,1,-0.000246843,0.759594,,,True,True,True,True,True,True,True
44,1,4,46,49,-0.000251332,-15833.6, 3.97950,,-0.000129600, 291.000,-1.08025,2019-12-12 10:22:30,2746,1,-0.000234161, 14.6664,,,False,True,True,True,True,True,False
45,1,4,47,50,-0.000229021,-16916.1, 3.87414,,-0.000118100, 291.000,-1.27011,2019-12-12 10:22:30,2807,1,-0.000219696, 8.48900,,,False,True,True,True,True,True,False
46,1,4,48,51,-0.000225280,-18046.7, 4.06556,,-0.000116200, 291.000,-0.774527,2019-12-12 10:22:30,2868,1,-0.000209540, 15.0234,,,False,True,True,True,True,True,False
47,1,4,49,52,-0.000206749,-19226.5, 3.97507,,-0.000106600, 291.000,-1.21951,2019-12-12 10:22:30,2929,1,-0.000189730, 17.9402,,,False,True,True,True,True,True,False
48,1,4,50,53,-0.000208843,-20456.7, 4.27223,,-0.000107700, 291.000,-1.11421,2019-12-12 10:22:30,2990,1,-0.000187311, 22.9906,,,False,True,True,True,True,True,False
49,1,4,51,54,-0.000170321,-21738.1, 3.70245,,-8.63000e-05, 285.000,-0.926999,2019-12-12 10:22:32,3051,1,-0.000169644,0.797550,,,True,True,True,True,True,True,True
50,1,4,52,55,-0.000170715,-23071.9, 3.93871,,-8.65000e-05, 285.000,-1.38728,2019-12-12 10:22:32,3112,1,-0.000168667, 2.42845,,,True,True,True,True,True,True,True
51,1,4,53,56,-0.000158430,-24459.0, 3.87505,,-8.03000e-05, 285.000,-0.498132,2019-12-12 10:22:32,3173,1,-0.000156239, 2.80468,,,True,True,True,True,True,True,True
52,1,4,54,57,-0.000166357,-25900.7, 4.30876,,-8.43000e-05, 285.000,-0.355872,2019-12-12 10:22:32,3234,1,-0.000144617, 30.0648,,,False,True,True,True,True,True,False
53,1,4,55,58,-0.000151942,-27397.8, 4.16288,,-7.70000e-05, 285.000,-0.389610,2019-12-12 10:22:32,3295,1,-0.000138697, 19.0992,,,False,True,True,True,True,True,False
54,1,4,56,59,-0.000156517,-28951.5, 4.53141,,-7.93000e-05, 285.000,-1.26103,2019-12-12 10:22:33,3356,1,-0.000134990, 31.8942,,,False,True,True,True,True,True,False
55,1,4,57,60,-0.000162393,-30562.8, 4.96319,,-8.23000e-05, 285.000,-1.94411,2019-12-12 10:22:33,3417,1,-0.000142701, 27.5990,,,False,True,True,True,True,True,False
56,1,4,58,61,-0.000156083,-32232.7, 5.03098,,-7.91000e-05, 285.000,-1.76991,2019-12-12 10:22:33,3478,1,-0.000135073, 31.1091,,,False,True,True,True,True,True,False
57,1,4,59,62,-0.000121868,-33962.4, 4.13893,,-6.81000e-05, 285.000,-0.734214,2019-12-12 10:22:35,3539,1,-0.000117241, 7.89403,,,False,True,True,True,True,True,False
58,1,4,60,63,-8.40480e-05,-35752.7, 3.00494,,-4.69000e-05, 285.000,-1.91898,2019-12-12 10:22:35,3600,1,-9.38880e-05, 20.9611,,,False,True,True,True,True,True,False
59,1,4,61,64,-8.26520e-05,-37604.9, 3.10812,,-4.62000e-05, 285.000,-2.16450,2019-12-12 10:22:35,3661,1,-8.49470e-05, 5.40337,,,False,True,True,True,True,True,False
60,1,4,63,2,-1.63710,-6.27290, 10.2693,,-0.915080, 285.000,-0.141092,2019-12-12 10:22:35,3783,1,-1.63083,0.768904,,,True,True,True,True,True,True,True
61,1,4,64,3, 1.56696, 6.29317, 9.86116,,0.875876, 285.000,0.134562,2019-12-12 10:22:35,3844,1, 1.56796,0.127297,,,True,True,True,True,True,True,True
62,2,5,1,4, 3.60395, 2.51327, 9.05770,, 1.73558, 292.000,0.0863402,2019-12-12 10:22:38,1,2, 3.61136,0.410828,,,True,True,True,True,True,True,True
63,2,5,3,6, 3.75484, 2.51327, 9.43694,, 1.80824, 292.000,0.0956951,2019-12-12 10:22:38,124,1, 3.74622,0.459983,,,True,True,True,True,True,True,True
64,2,5,4,7,-0.694667,-15.7080, 10.9118,,-0.334536, 292.000,-0.0914103,2019-12-12 10:22:38,184,1,-0.694699,0.00918974,,,True,True,True,True,True,True,True
65,2,5,6,9,-1.99026,-4.88692, 9.72624,,-0.958463, 292.000,-0.100922,2019-12-12 10:22:38,307,1,-1.98650,0.378848,,,True,True,True,True,True,True,True
66,2,5,7,10,-0.541743,-13.9626, 7.56416,,-0.260891, 292.000,-0.0828699,2019-12-12 10:22:38,368,1,-0.541844,0.0374906,,,True,True,True,True,True,True,True
67,2,5,8,11,-0.238725,-28.2743, 6.74978,,-0.114964, 292.000,-0.0814166,2019-12-12 10:22:38,429,1,-0.238719,0.00453545,,,True,True,True,True,True,True,True
68,2,5,9,12,-0.125210,-48.8692, 6.11894,,-0.0602984, 292.000,-0.0776140,2019-12-12 10:22:38,490,1,-0.125173,0.0593121,,,True,True,True,True,True,True,True
69,2,5,10,13,-0.0731725,-76.7945, 5.61924,,-0.0352381, 292.000,-0.0766216,2019-12-12 10:22:38,551,1,-0.0731410,0.0861336,,,True,True,True,True,True,True,True
70,2,5,11,14,-0.0456348,-113.097, 5.16117,,-0.0257618, 298.000,-0.154880,2019-12-12 10:22:40,612,1,-0.0456287,0.0264044,,,True,True,True,True,True,True,True
71,2,5,12,15,-0.0304711,-158.825, 4.83957,,-0.0172015, 298.000,-0.156963,2019-12-12 10:22:40,673,1,-0.0304809,0.0644502,,,True,True,True,True,True,True,True
