,TEROS 21,TEROS 21,TEROS 21,TEROS 21,5TE,5TE,5TE,5TE,5TE,5TE,5TE,5TE,5TE,5TE,5TE,5TE,Battery,Battery,Barometer,Barometer,datetime2
, kPa Matric Potential, °C Soil Temperature, kPa Matric Potential.1, °C Soil Temperature.1, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content.1, °C Soil Temperature.1, mS/cm Saturation Extract EC.1, m³/m³ Water Content.2, °C Soil Temperature.2, mS/cm Saturation Extract EC.2, m³/m³ Water Content.3, °C Soil Temperature.3, mS/cm Saturation Extract EC.3,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature,datetime2
datetime,,,,,,,,,,,,,,,,,,,,,
2020-02-24 19:00:00,-9.0,20.6,-10.4,20.5,-0.02,21.1,0.01,-0.021,21.0,0.0,-0.013999999999999999,21.1,0.0,-0.013999999999999999,21.0,0.0,100,6798,99.46,20.2,2020-02-24 19:00:00
2020-02-24 20:00:00,-9.1,21.2,-10.4,21.4,-0.02,21.4,0.01,-0.021,21.1,0.0,-0.013000000000000001,21.3,0.0,-0.013999999999999999,21.2,0.0,100,6787,99.47,21.0,2020-02-24 20:00:00
2020-02-24 21:00:00,-9.1,21.0,-10.5,21.3,-0.02,21.2,0.01,-0.021,21.0,0.0,-0.013000000000000001,21.2,0.0,-0.013999999999999999,21.1,0.0,100,6774,99.49,21.0,2020-02-24 21:00:00
2020-02-24 22:00:00,-9.1,21.0,-10.5,21.2,-0.02,21.1,0.01,-0.021,20.9,0.0,-0.013999999999999999,21.1,0.0,-0.013999999999999999,21.0,0.0,100,6764,99.5,21.0,2020-02-24 22:00:00
2020-02-24 23:00:00,-9.1,20.9,-10.5,21.1,-0.02,21.0,0.01,-0.021,20.8,0.0,-0.013999999999999999,21.0,0.0,-0.013999999999999999,20.9,0.0,100,6758,99.54,21.0,2020-02-24 23:00:00
2020-02-25 00:00:00,-9.1,20.9,-10.5,21.1,-0.02,21.0,0.01,-0.021,20.7,0.0,-0.013999999999999999,20.9,0.0,-0.013999999999999999,20.9,0.0,100,6752,99.52,21.0,2020-02-25 00:00:00
2020-02-25 01:00:00,-9.1,21.0,-10.5,21.2,-0.02,21.0,0.01,-0.021,20.8,0.0,-0.013999999999999999,21.0,0.0,-0.013999999999999999,20.9,0.0,100,6745,99.49,21.1,2020-02-25 01:00:00
2020-02-25 02:00:00,-9.1,21.0,-10.5,21.2,-0.02,21.1,0.01,-0.021,20.8,0.0,-0.013999999999999999,21.0,0.0,-0.013999999999999999,20.9,0.0,100,6729,99.47,21.2,2020-02-25 02:00:00
2020-02-25 03:00:00,-9.1,21.1,-10.5,21.3,-0.02,21.1,0.01,-0.021,20.8,0.0,-0.013999999999999999,21.1,0.0,-0.013999999999999999,21.0,0.0,100,6729,99.47,21.2,2020-02-25 03:00:00
2020-02-25 04:00:00,-9.1,21.0,-10.5,21.2,-0.02,21.1,0.01,-0.021,20.8,0.0,-0.013999999999999999,21.1,0.0,-0.013999999999999999,21.0,0.0,100,6723,99.44,21.2,2020-02-25 04:00:00
2020-02-25 05:00:00,-9.1,21.1,-10.5,21.2,-0.02,21.1,0.01,-0.021,20.8,0.0,-0.013999999999999999,21.1,0.0,-0.013999999999999999,21.0,0.0,100,6717,99.4,21.2,2020-02-25 05:00:00
2020-02-25 06:00:00,-9.1,21.1,-10.5,21.2,-0.02,21.1,0.01,-0.021,20.8,0.0,-0.013999999999999999,21.1,0.0,-0.013999999999999999,21.0,0.0,100,6714,99.4,21.2,2020-02-25 06:00:00
2020-02-25 07:00:00,-9.1,21.1,-10.5,21.2,-0.02,21.1,0.01,-0.021,20.8,0.0,-0.013999999999999999,21.1,0.0,-0.013999999999999999,21.0,0.0,100,6713,99.43,21.2,2020-02-25 07:00:00
2020-02-25 08:00:00,-9.0,21.1,-10.5,21.3,-0.02,21.1,0.01,-0.021,20.9,0.0,-0.013999999999999999,21.1,0.0,-0.013999999999999999,21.0,0.0,100,6671,99.47,21.4,2020-02-25 08:00:00
2020-02-25 09:00:00,-9.0,21.1,-10.5,21.3,-0.02,21.1,0.01,-0.021,20.9,0.0,-0.013999999999999999,21.1,0.0,-0.013999999999999999,21.0,0.0,100,6678,99.49,21.3,2020-02-25 09:00:00
