64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1208
# a b m n r rhoa k
1 13 2 5 2.09403 8.39007 4.00667
1 13 3 6 0.763879 6.99941 9.16298
1 13 4 7 0.448909 6.3463 14.1372
1 13 5 8 0.317231 5.47158 17.248
1 13 6 9 0.300003 5.17443 17.248
1 13 7 10 0.403489 5.70419 14.1372
1 13 8 11 0.749444 6.86714 9.16298
1 13 9 12 2.13851 8.5683 4.00667
1 23 2 7 2.22567 8.24338 3.70377
1 23 3 8 0.821863 6.90715 8.40426
1 23 4 9 0.445689 6.16463 13.8317
1 23 5 10 0.273127 5.35425 19.6035
1 23 6 11 0.195704 4.93794 25.2317
1 23 7 12 0.149872 4.52002 30.1593
1 23 8 13 0.132648 4.4878 33.8325
1 23 9 14 0.125611 4.49658 35.7978
1 23 10 15 0.12131 4.34264 35.7978
1 23 11 16 0.13284 4.49433 33.8325
1 23 12 17 0.156488 4.71957 30.1593
1 23 13 18 0.197244 4.9768 25.2317
1 23 14 19 0.283047 5.54872 19.6035
1 23 15 20 0.425985 5.89209 13.8317
1 23 16 21 0.837751 7.04067 8.40426
1 23 17 22 2.40129 8.89383 3.70377
1 55 2 9 2.27187 8.13022 3.57865
1 55 5 12 0.279611 5.4108 19.3511
1 55 8 15 0.107009 4.47333 41.8032
1 55 11 18 0.0619327 4.27844 69.0821
1 55 14 21 0.0418953 4.1202 98.345
1 55 17 24 0.033142 4.17075 125.845
1 55 20 27 0.0281804 4.15389 147.403
1 55 23 30 0.0260441 4.14871 159.296
1 55 26 33 0.0262472 4.18106 159.296
1 55 29 36 0.0287278 4.23457 147.403
1 55 32 39 0.0323374 4.0695 125.845
1 55 35 42 0.0422672 4.15677 98.345
1 55 38 45 0.0616296 4.2575 69.0821
1 55 41 48 0.106772 4.46339 41.8032
1 55 44 51 0.265519 5.13809 19.3511
1 55 47 54 2.19569 7.85761 3.57865
2 14 3 6 2.03546 8.15543 4.00667
2 14 4 7 0.773752 7.08988 9.16298
2 14 5 8 0.414688 5.86252 14.1372
2 14 6 9 0.303853 5.24085 17.248
2 14 7 10 0.301115 5.19362 17.248
2 14 8 11 0.410369 5.80145 14.1372
2 14 9 12 0.734457 6.72981 9.16298
2 14 10 13 1.97988 7.93272 4.00667
2 24 3 8 2.1606 8.00236 3.70377
2 24 4 9 0.817697 6.87214 8.40426
2 24 5 10 0.418583 5.78971 13.8317
2 24 6 11 0.26704 5.23492 19.6035
2 24 7 12 0.185604 4.68311 25.2317
2 24 8 13 0.151545 4.57048 30.1593
2 24 9 14 0.134143 4.53841 33.8325
2 24 10 15 0.120909 4.32826 35.7978
2 24 11 16 0.122529 4.38626 35.7978
2 24 12 17 0.133694 4.52321 33.8325
2 24 13 18 0.154628 4.66348 30.1593
2 24 14 19 0.201759 5.09072 25.2317
2 24 15 20 0.272955 5.35089 19.6035
