64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1400
# a b m n r rhoa k
1 13 2 5 2.03121 8.13837 4.00667
1 13 3 6 0.711396 6.5185 9.16298
1 13 4 7 0.422793 5.97709 14.1372
1 13 5 8 0.299765 5.17034 17.248
1 13 6 9 0.267285 4.61012 17.248
1 13 7 10 0.385561 5.45074 14.1372
1 13 8 11 0.725431 6.64711 9.16298
1 13 9 12 2.2031 8.82709 4.00667
1 23 2 7 2.15725 7.98997 3.70377
1 23 3 8 0.768303 6.45702 8.40426
1 23 4 9 0.41636 5.75895 13.8317
1 23 5 10 0.260905 5.11466 19.6035
1 23 6 11 0.187903 4.7411 25.2317
1 23 7 12 0.142657 4.30244 30.1593
1 23 8 13 0.12729 4.30653 33.8325
1 23 9 14 0.123969 4.43781 35.7978
1 23 10 15 0.115113 4.1208 35.7978
1 23 11 16 0.127475 4.3128 33.8325
1 23 12 17 0.147928 4.46141 30.1593
1 23 13 18 0.186169 4.69735 25.2317
1 23 14 19 0.270736 5.30738 19.6035
1 23 15 20 0.40189 5.55882 13.8317
1 23 16 21 0.804728 6.76315 8.40426
1 23 17 22 2.33838 8.66083 3.70377
1 57 4 16 0.484161 5.58816 11.542
1 57 5 17 0.307119 4.99223 16.255
1 57 6 18 0.218944 4.67246 21.3409
1 57 7 19 0.161917 4.33186 26.7536
1 57 8 20 0.131149 4.25443 32.4396
1 57 9 21 0.114162 4.37674 38.3381
1 57 10 22 0.094807 4.20763 44.381
1 57 11 23 0.082468 4.16407 50.4932
1 57 12 24 0.0733684 4.15217 56.5934
1 57 13 25 0.0654866 4.09912 62.5948
1 57 14 26 0.0603349 4.1273 68.4065
1 57 15 27 0.0569116 4.2078 73.9358
1 57 16 28 0.0526849 4.1668 79.0892
1 57 17 29 0.049602 4.15545 83.7758
1 57 18 30 0.0475242 4.17781 87.9092
1 57 19 31 0.0454956 4.15878 91.4105
1 57 20 32 0.0443286 4.17622 94.2106
1 57 21 33 0.0434787 4.18496 96.2531
1 57 22 34 0.0429839 4.19075 97.4958
1 57 23 35 0.0429398 4.20437 97.913
1 57 24 36 0.0430347 4.1957 97.4958
1 57 25 37 0.0438682 4.22245 96.2531
1 57 26 38 0.0438433 4.13051 94.2106
1 57 27 39 0.045049 4.11795 91.4105
1 57 28 40 0.0473725 4.16448 87.9092
1 57 29 41 0.0496311 4.15788 83.7758
1 57 30 42 0.0532624 4.21248 79.0892
1 57 31 43 0.0567424 4.19529 73.9358
1 57 32 44 0.0601951 4.11774 68.4065
1 57 33 45 0.0662626 4.14769 62.5948
1 57 34 46 0.073635 4.16726 56.5934
1 57 35 47 0.0817712 4.12889 50.4932
1 57 36 48 0.0945266 4.19518 44.381
1 57 37 49 0.110691 4.24369 38.3381
1 57 38 50 0.129825 4.21148 32.4396
1 57 39 51 0.165448 4.42633 26.7536
