64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1400
# a b m n r rhoa
1 13 2 5 1.77762267 7.122345452776049
1 13 3 6 0.608416237 5.574904943078177
1 13 4 7 0.385443341 5.4490768580731865
1 13 5 8 0.294349483 5.076928010717866
1 13 6 9 0.234629085 4.046872994730563
1 13 7 10 0.385286012 5.446852671735502
1 13 8 11 0.691487975 6.3360894983915745
1 13 9 12 2.27477211 9.114258648468
1 23 2 7 1.90919649 7.071229249802771
1 23 3 8 0.66195147 5.56321265973048
1 23 4 9 0.382234355 5.286941042818619
1 23 5 10 0.251725344 4.934707386540443
1 23 6 11 0.177785108 4.485818559013205
1 23 7 12 0.142508482 4.297954561204157
1 23 8 13 0.11954141 4.044389089523623
1 23 9 14 0.123561188 4.423214412257457
1 23 10 15 0.104119849 3.727257920981386
1 23 11 16 0.122219754 4.135004260045629
1 23 12 17 0.13602927 4.10254613092975
1 23 13 18 0.180718327 4.559828628674665
1 23 14 19 0.250619104 4.913021168488093
1 23 15 20 0.355494921 4.917089905088366
1 23 16 21 0.720073282 6.051683514436604
1 23 17 22 1.77130151 6.560497629938454
1 57 4 16 0.453010645 5.228627855341003
1 57 5 17 0.296391573 4.817847024157368
1 57 6 18 0.210210883 4.4860982406138525
1 57 7 19 0.161887761 4.3310808522655755
1 57 8 20 0.126033075 4.088460142202597
1 57 9 21 0.115571214 4.430778429586011
1 57 10 22 0.09271177 4.114640289094088
1 57 11 23 0.082323244 4.156767002802371
1 57 12 24 0.073038321 4.133487327229201
1 57 13 25 0.065562784 4.103886187827151
1 57 14 26 0.060365365 4.129385626574883
1 57 15 27 0.05840296 4.31806712525037
1 57 16 28 0.052578524 4.158393446445683
1 57 17 29 0.050794079 4.255314811526921
1 57 18 30 0.047225659 4.151570854886543
1 57 19 31 0.044846881 4.099474799510637
1 57 20 32 0.044423136 4.185130386158486
1 57 21 33 0.04321822 4.159885556013779
1 57 22 34 0.043168458 4.208743551347152
1 57 23 35 0.04357724 4.266777037987252
1 57 24 36 0.043281081 4.219723821362434
1 57 25 37 0.044421083 4.275664790317353
1 57 26 38 0.04391239 4.137012698019384
1 57 27 39 0.04584919 4.191096343644837
1 57 28 40 0.047780866 4.20037866929161
1 57 29 41 0.048910881 4.097548384805455
1 57 30 42 0.053493674 4.230771928628156
1 57 31 43 0.057779008 4.271934761087078
1 57 32 44 0.059679452 4.082464692968648
1 57 33 45 0.06566194 4.110092833030629
1 57 34 46 0.073088121 4.136305678829808
1 57 35 47 0.08163377 4.121953229276996
1 57 36 48 0.094070688 4.174950417488521
1 57 37 49 0.110545492 4.238101898294267
1 57 38 50 0.125547633 4.072712607134115
1 57 39 51 0.160151584 4.284631862456866
1 57 40 52 0.202921649 4.330539121332562
1 57 41 53 0.298019819 4.844314173902196
1 57 42 54 0.450135301 5.195440768242668
2 14 3 6 1.46868438 5.884532016829089
2 14 4 7 0.645786718 5.917329859742768
2 14 5 8 0.376723494 5.325802925332865
2 14 6 9 0.24279297 4.187683353934691
2 14 7 10 0.277382366 4.784279861040541
2 14 8 11 0.350458158 4.95448548553536
2 14 9 12 0.662268994 6.068356601564551
2 14 10 13 1.50002669 6.01011027529493
2 24 3 8 1.57933702 5.849504851708764
2 24 4 9 0.68307612 5.740749723455673
2 24 5 10 0.376117486 5.202334504064025
2 24 6 11 0.236733876 4.640821571552006
2 24 7 12 0.174623934 4.406056799679178
2 24 8 13 0.134311432 4.0507373574175185
2 24 9 14 0.132590724 4.485880478719784
2 24 10 15 0.105125001 3.763240116401111
2 24 11 16 0.114356848 4.093719608894788
