64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1832
# a b m n r rhoa k
1 4 2 5 3.61878 9.09499 2.51327
1 4 3 6 -0.932961 14.6549 -15.708
1 4 5 8 -1.80918 8.84133 -4.88692
1 4 6 9 -0.521851 7.28641 -13.9626
1 4 7 10 -0.219528 6.207 -28.2743
1 4 8 11 -0.117305 5.73262 -48.8692
1 4 9 12 -0.0693309 5.32423 -76.7945
1 4 10 13 -0.0441227 4.99016 -113.097
1 4 11 14 -0.0292461 4.645 -158.825
1 4 12 15 -0.0204246 4.39178 -215.025
1 4 13 16 -0.014476 4.09299 -282.743
1 4 14 17 -0.0111475 4.04684 -363.028
1 4 15 18 -0.008929 4.0799 -456.927
1 4 16 19 -0.00695785 3.93457 -565.487
1 4 17 20 -0.00537101 3.70468 -689.754
1 4 18 21 -0.00440406 3.65879 -830.777
1 4 19 22 -0.00358965 3.55232 -989.602
1 4 20 23 -0.00312607 3.64899 -1167.28
1 4 21 24 -0.00267542 3.65153 -1364.85
1 4 22 25 -0.00229664 3.63641 -1583.36
1 4 23 26 -0.00189891 3.46336 -1823.87
1 4 24 27 -0.00164244 3.42845 -2087.41
1 4 25 28 -0.00144402 3.4296 -2375.04
1 4 26 29 -0.00131185 3.52599 -2687.81
1 4 27 30 -0.00114731 3.47261 -3026.75
1 4 28 31 -0.00102487 3.47729 -3392.92
1 4 29 32 -0.000901959 3.41605 -3787.36
1 4 30 33 -0.000840087 3.53772 -4211.13
1 4 31 34 -0.00077695 3.62468 -4665.27
1 4 34 37 -0.000571777 3.55666 -6220.35
1 4 35 38 -0.000495892 3.37526 -6806.44
1 4 36 39 -0.000454364 3.37507 -7428.12
1 4 37 40 -0.00042136 3.40731 -8086.46
1 4 39 42 -0.000379295 3.60986 -9517.28
1 4 45 48 -0.000245905 3.63898 -14798.3
1 4 51 54 -0.000170321 3.70245 -21738.1
1 4 52 55 -0.000170715 3.93871 -23071.9
1 4 53 56 -0.00015843 3.87505 -24459
1 4 63 2 -1.6371 10.2693 -6.2729
1 4 64 3 1.56696 9.86116 6.29317
2 5 3 6 3.75484 9.43694 2.51327
2 5 4 7 -0.694667 10.9118 -15.708
2 5 6 9 -1.99026 9.72624 -4.88692
2 5 7 10 -0.541743 7.56416 -13.9626
2 5 8 11 -0.238725 6.74978 -28.2743
2 5 9 12 -0.12521 6.11894 -48.8692
2 5 10 13 -0.0731725 5.61924 -76.7945
2 5 11 14 -0.0456348 5.16117 -113.097
2 5 12 15 -0.0304711 4.83957 -158.825
2 5 13 16 -0.0207346 4.45846 -215.025
2 5 14 17 -0.0154348 4.36407 -282.743
2 5 15 18 -0.0120653 4.38004 -363.028
2 5 16 19 -0.00913351 4.17335 -456.927
2 5 17 20 -0.00692561 3.91634 -565.487
2 5 18 21 -0.00556396 3.83777 -689.754
2 5 19 22 -0.00452129 3.75618 -830.777
2 5 20 23 -0.00389819 3.85765 -989.602
2 5 21 24 -0.00329456 3.84566 -1167.28
2 5 22 25 -0.00279497 3.8147 -1364.85
2 5 23 26 -0.00228273 3.61439 -1583.36
2 5 24 27 -0.00195489 3.56547 -1823.87
2 5 25 28 -0.00170893 3.56724 -2087.41
2 5 26 29 -0.00154113 3.66024 -2375.04
2 5 27 30 -0.00135878 3.65213 -2687.81
2 5 28 31 -0.00120944 3.66066 -3026.75
2 5 29 32 -0.00106963 3.62916 -3392.92
2 5 30 33 -0.000977256 3.70122 -3787.36
2 5 31 34 -0.000882784 3.71752 -4211.13
2 5 32 35 -0.000825241 3.84997 -4665.27
2 5 33 36 -0.000732068 3.77075 -5150.82
2 5 34 37 -0.000648562 3.67659 -5668.83
2 5 35 38 -0.000534541 3.32503 -6220.35
2 5 36 39 -0.000485952 3.3076 -6806.44
2 5 38 41 -0.000421877 3.41149 -8086.46
2 5 40 43 -0.000378068 3.59818 -9517.28
2 5 41 44 -0.000344075 3.54117 -10291.9
2 5 42 45 -0.000313835 3.48585 -11107.3
