,ERT_dataset,ERT_dataset,sensor1,sensor1,sensor1,sensor1,sensor1,sensor1,sensor1,sensor1,sensor1,sensor1,sensor1,sensor1,sensor2,sensor2,sensor2,sensor2,sensor2,sensor2,sensor2,sensor2,sensor2,sensor2,sensor2,sensor2,sensor3,sensor3,sensor3,sensor3,sensor3,sensor3,sensor3,sensor3,sensor3,sensor3,sensor3,sensor3,sensor4,sensor4,sensor4,sensor4,sensor4,sensor4,sensor4,sensor4,sensor4,sensor4,sensor4,sensor4
,fvtk,datetime,group,xmin,xmax,ymin,ymax,zmin,zmax,avg,std,min,max,num,group,xmin,xmax,ymin,ymax,zmin,zmax,avg,std,min,max,num,group,xmin,xmax,ymin,ymax,zmin,zmax,avg,std,min,max,num,group,xmin,xmax,ymin,ymax,zmin,zmax,avg,std,min,max,num
datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-25 14:00:15,inversion/./NOBLE_DD2_CTR20191025_1400_inv.vtk,2019-10-25 14:00:15,,13.5,14.5,-0.25,-0.1,,,8.231,0.145,8.041,8.393,4,,13.0,15.0,-0.45,-0.25,,,8.02,0.219,7.795,8.464,9,,13.0,15.0,-0.63,-0.43,,,7.076,0.346,6.54,7.588,11,,13.0,15.0,-0.81,-0.61,,,6.699,0.185,6.54,6.957,4
2019-12-06 12:53:52,inversion/./NOBLE_DD2_CTR20191206_1253_inv.vtk,2019-12-06 12:53:52,,13.5,14.5,-0.25,-0.1,,,9.807,0.143,9.618,9.962,4,,13.0,15.0,-0.45,-0.25,,,9.413,0.091,9.247,9.526,9,,13.0,15.0,-0.63,-0.43,,,8.442,0.353,7.901,8.829,11,,13.0,15.0,-0.81,-0.61,,,8.029,0.097,7.901,8.134,4
2019-12-12 10:22:16,inversion/./NOBLE_DD2_CTR20191212_1022_inv.vtk,2019-12-12 10:22:16,,13.5,14.5,-0.25,-0.1,,,10.782,0.184,10.516,10.907,4,,13.0,15.0,-0.45,-0.25,,,10.396,0.205,10.218,10.801,9,,13.0,15.0,-0.63,-0.43,,,9.039,0.47,8.32,9.668,11,,13.0,15.0,-0.81,-0.61,,,8.498,0.178,8.32,8.743,4
2019-12-18 11:27:10,inversion/./NOBLE_DD2_CTR20191218_1127_inv.vtk,2019-12-18 11:27:10,,13.5,14.5,-0.25,-0.1,,,11.629,0.26,11.252,11.82,4,,13.0,15.0,-0.45,-0.25,,,11.165,0.213,10.992,11.566,9,,13.0,15.0,-0.63,-0.43,,,9.583,0.533,8.774,10.277,11,,13.0,15.0,-0.81,-0.61,,,8.966,0.174,8.774,9.196,4
2019-12-30 10:31:15,inversion/./GRAD_C_NOWEN20191230_1031_inv.vtk,2019-12-30 10:31:15,,13.5,14.5,-0.25,-0.1,,,10.873,0.182,10.655,11.097,4,,13.0,15.0,-0.45,-0.25,,,10.356,0.141,10.109,10.506,9,,13.0,15.0,-0.63,-0.43,,,9.141,0.444,8.468,9.631,11,,13.0,15.0,-0.81,-0.61,,,8.623,0.113,8.468,8.723,4
2020-02-21 13:55:24,inversion/./GRAD_C_NOWEN20200221_1355_inv.vtk,2020-02-21 13:55:24,,13.5,14.5,-0.25,-0.1,,,10.98,0.197,10.729,11.207,4,,13.0,15.0,-0.45,-0.25,,,10.518,0.164,10.213,10.649,9,,13.0,15.0,-0.63,-0.43,,,9.398,0.424,8.79,9.859,11,,13.0,15.0,-0.81,-0.61,,,8.911,0.089,8.79,8.989,4
2020-02-24 12:27:33,inversion/./GRAD_C_NOWEN20200224_1227_inv.vtk,2020-02-24 12:27:33,,13.5,14.5,-0.25,-0.1,,,10.311,0.156,10.101,10.472,4,,13.0,15.0,-0.45,-0.25,,,10.028,0.144,9.772,10.183,9,,13.0,15.0,-0.63,-0.43,,,9.117,0.36,8.59,9.509,11,,13.0,15.0,-0.81,-0.61,,,8.708,0.084,8.59,8.782,4
2020-02-28 14:17:03,inversion/./GRAD_C_NOWEN20200228_1416_inv.vtk,2020-02-28 14:17:03,,13.5,14.5,-0.25,-0.1,,,11.012,0.097,10.902,11.117,4,,13.0,15.0,-0.45,-0.25,,,10.364,0.347,9.805,10.769,9,,13.0,15.0,-0.63,-0.43,,,9.312,0.453,8.699,9.933,11,,13.0,15.0,-0.81,-0.61,,,8.866,0.156,8.699,8.999,4
2020-03-09 13:19:09,inversion/./GRAD_C_NOWEN20200309_1319_inv.vtk,2020-03-09 13:19:09,,13.5,14.5,-0.25,-0.1,,,11.871,0.785,10.884,12.645,4,,13.0,15.0,-0.45,-0.25,,,10.367,1.223,8.673,12.058,9,,13.0,15.0,-0.63,-0.43,,,9.124,0.775,8.072,10.414,11,,13.0,15.0,-0.81,-0.61,,,8.648,0.415,8.144,9.109,4
