name,type,xmin,xmax,ymin,ymax,zmin,zmax
C01,crop,1.5,2.9,-0.8,0,,
C02,crop,4.4,5.8,-0.8,0,,
C03,crop,7.3,8.7,-0.8,0,,
C04,crop,10.2,11.6,-0.8,0,,
C05,crop,13.1,14.5,-0.8,0,,
C06,crop,16.0,17.4,-0.8,0,,
C07,crop,18.9,20.3,-0.8,0,,
C08,crop,21.8,23.2,-0.8,0,,
C09,crop,24.7,26.1,-0.8,0,,
C10,crop,27.6,29.0,-0.8,0,,
S01,space,0.0,1.5,-0.8,0,,
S02,space,2.9,4.4,-0.8,0,,
S03,space,5.8,7.3,-0.8,0,,
S04,space,8.7,10.2,-0.8,0,,
S05,space,11.6,13.1,-0.8,0,,
S06,space,14.5,16.0,-0.8,0,,
S07,space,17.4,18.9,-0.8,0,,
S08,space,20.3,21.8,-0.8,0,,
S09,space,23.2,24.7,-0.8,0,,
S10,space,26.1,27.6,-0.8,0,,
S11,space,29.0,30.5,-0.8,0,,
