,ERT_dataset,ERT_dataset,d000_025,d000_025,d000_025,d000_025,d000_025,d000_025,d000_025,d000_025,d000_025,d000_025,d000_025,d025_050,d025_050,d025_050,d025_050,d025_050,d025_050,d025_050,d025_050,d025_050,d025_050,d025_050,d050_075,d050_075,d050_075,d050_075,d050_075,d050_075,d050_075,d050_075,d050_075,d050_075,d050_075,d075_100,d075_100,d075_100,d075_100,d075_100,d075_100,d075_100,d075_100,d075_100,d075_100,d075_100,d100_150,d100_150,d100_150,d100_150,d100_150,d100_150,d100_150,d100_150,d100_150,d100_150,d100_150
,fvtk,datetime,group,xmin,xmax,ymin,ymax,zmin,zmax,avg,std,min,max,group,xmin,xmax,ymin,ymax,zmin,zmax,avg,std,min,max,group,xmin,xmax,ymin,ymax,zmin,zmax,avg,std,min,max,group,xmin,xmax,ymin,ymax,zmin,zmax,avg,std,min,max,group,xmin,xmax,ymin,ymax,zmin,zmax,avg,std,min,max
datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-25 14:00:15,inversion/./NOBLE_DD2_CTR20191025_1400_inv.vtk,2019-10-25 14:00:15,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2019-12-06 12:53:52,inversion/./NOBLE_DD2_CTR20191206_1253_inv.vtk,2019-12-06 12:53:52,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2019-12-12 10:22:16,inversion/./NOBLE_DD2_CTR20191212_1022_inv.vtk,2019-12-12 10:22:16,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2019-12-18 11:27:10,inversion/./NOBLE_DD2_CTR20191218_1127_inv.vtk,2019-12-18 11:27:10,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2019-12-30 10:31:15,inversion/./GRAD_C_NOWEN20191230_1031_inv.vtk,2019-12-30 10:31:15,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2020-02-21 13:55:24,inversion/./GRAD_C_NOWEN20200221_1355_inv.vtk,2020-02-21 13:55:24,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2020-02-24 12:27:33,inversion/./GRAD_C_NOWEN20200224_1227_inv.vtk,2020-02-24 12:27:33,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2020-02-28 14:17:03,inversion/./GRAD_C_NOWEN20200228_1416_inv.vtk,2020-02-28 14:17:03,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
