meas,a,b,m,n,r,k,rhoa,ip,v,ctc,stk,datetime,rec_num,rec_fnd,rec_avg,rec_err,rec_ip_avg,rec_ip_err,rec_valid,k_valid,rhoa_valid,v_valid,ctc_valid,stk_valid,valid
1,1,13,2,5, 1.75693, 4.00667, 7.03945, 1.00000, 1.07125, 274.000,0.119337,2020-03-09 13:19:09,41,1, 1.74667, 1.17547, 1.74667, 1.17547,True,True,True,True,True,True,True
2,1,13,3,6,0.633831, 9.16298, 5.80778, 1.00000,0.386464, 274.000,0.116932,2020-03-09 13:19:09,84,1,0.633398,0.136785,0.633398,0.136785,True,True,True,True,True,True,True
3,1,13,4,7,0.372296, 14.1372, 5.26321, 1.00000,0.226999, 274.000,0.118987,2020-03-09 13:19:09,129,1,0.371259,0.558597,0.371259,0.558597,True,True,True,True,True,True,True
4,1,13,5,8,0.319360, 17.2480, 5.50831, 1.00000,0.194723, 274.000,0.116011,2020-03-09 13:19:09,176,1,0.319104,0.160512,0.319104,0.160512,True,True,True,True,True,True,True
5,1,13,6,9,0.263811, 17.2480, 4.55020, 1.00000,0.160853, 274.000,0.124524,2020-03-09 13:19:09,226,1,0.263882,0.0535978,0.263882,0.0535978,True,True,True,True,True,True,True
6,1,13,7,10,0.492490, 14.1372, 6.96241, 1.00000,0.300284, 274.000,0.120686,2020-03-09 13:19:09,278,1,0.493534,0.423307,0.493534,0.423307,True,True,True,True,True,True,True
7,1,13,8,11,0.909675, 9.16298, 8.33534, 1.00000,0.554654, 274.000,0.123194,2020-03-09 13:19:10,332,1,0.909412,0.0579854,0.909412,0.0579854,True,True,True,True,True,True,True
8,1,13,9,12, 2.90112, 4.00667, 11.6238, 1.00000, 1.76889, 274.000,0.133824,2020-03-09 13:19:10,389,1, 2.89970,0.0982764, 2.89970,0.0982764,True,True,True,True,True,True,True
9,1,23,2,7, 1.87160, 3.70377, 6.93198, 1.00000,0.720434, 437.000,0.829778,2020-03-09 13:19:12,42,1, 1.85768, 1.49898, 1.85768, 1.49898,True,True,True,True,True,True,True
10,1,23,3,8,0.676573, 8.40426, 5.68609, 1.00000,0.260433, 437.000,0.844133,2020-03-09 13:19:12,86,1,0.676209,0.107655,0.676209,0.107655,True,True,True,True,True,True,True
11,1,23,4,9,0.368816, 13.8317, 5.10134, 1.00000,0.141968, 437.000,0.844345,2020-03-09 13:19:12,132,1,0.368396,0.228080,0.368396,0.228080,True,True,True,True,True,True,True
12,1,23,5,10,0.260253, 19.6035, 5.10187, 1.00000,0.100179, 437.000,0.846086,2020-03-09 13:19:12,180,1,0.260082,0.131071,0.260082,0.131071,True,True,True,True,True,True,True
