meas,a,b,m,n,r,k,rhoa,ip,v,ctc,stk,datetime,rec_num,rec_fnd,rec_avg,rec_err,rec_ip_avg,rec_ip_err,rec_valid,k_valid,rhoa_valid,v_valid,ctc_valid,stk_valid,valid
1,1,13,2,5,0.978781, 4.00667, 3.92165, 1.00000,0.473697, 331.000,0.175956,2020-05-07 11:54:53,64,1,0.967844, 2.26009,0.967844, 2.26009,True,True,True,True,True,True,True
2,1,13,3,6,0.398122, 9.16298, 3.64798, 1.00000,0.192678, 331.000,0.185232,2020-05-07 11:54:53,129,1,0.396026, 1.05851,0.396026, 1.05851,True,True,True,True,True,True,True
3,1,13,4,7,0.276337, 14.1372, 3.90662, 1.00000,0.133738, 331.000,0.188653,2020-05-07 11:54:53,196,1,0.275856,0.348771,0.275856,0.348771,True,True,True,True,True,True,True
4,1,13,5,8,0.271274, 17.2480, 4.67892, 1.00000,0.131288, 331.000,0.192174,2020-05-07 11:54:53,266,1,0.271217,0.0420420,0.271217,0.0420420,True,True,True,True,True,True,True
5,1,13,6,9,0.196250, 17.2480, 3.38492, 1.00000,0.0949785, 331.000,0.187832,2020-05-07 11:54:53,339,1,0.196512,0.266419,0.196512,0.266419,True,True,True,True,True,True,True
6,1,13,7,10,0.416157, 14.1372, 5.88328, 1.00000,0.201406, 331.000,0.199895,2020-05-07 11:54:53,415,1,0.416736,0.277767,0.416736,0.277767,True,True,True,True,True,True,True
7,1,13,8,11,0.644043, 9.16298, 5.90135, 1.00000,0.311695, 331.000,0.195287,2020-05-07 11:54:53,494,1,0.643209,0.259179,0.643209,0.259179,True,True,True,True,True,True,True
8,1,13,9,12, 2.79360, 4.00667, 11.1930, 1.00000, 1.35201, 331.000,0.201367,2020-05-07 11:54:53,576,1, 2.77267, 1.50953, 2.77267, 1.50953,True,True,True,True,True,True,True
9,1,23,2,7, 1.06967, 3.70377, 3.96181, 1.00000,0.290094, 816.000, 5.49994,2020-05-07 11:54:56,65,1, 1.05732, 2.33657, 1.05732, 2.33657,True,True,True,True,True,True,True
10,1,23,3,8,0.445953, 8.40426, 3.74791, 1.00000,0.120942, 816.000, 5.52412,2020-05-07 11:54:56,131,1,0.443912,0.919479,0.443912,0.919479,True,True,True,True,True,True,True
11,1,23,4,9,0.280251, 13.8317, 3.87634, 1.00000,0.0760039, 816.000, 5.54748,2020-05-07 11:54:56,199,1,0.280176,0.0534650,0.280176,0.0534650,True,True,True,True,True,True,True
12,1,23,5,10,0.220984, 19.6035, 4.33206, 1.00000,0.0599307, 816.000, 5.53172,2020-05-07 11:54:56,270,1,0.221000,0.0149127,0.221000,0.0149127,True,True,True,True,True,True,True
13,1,23,6,11,0.155369, 25.2317, 3.92021, 1.00000,0.0421359, 816.000, 5.53471,2020-05-07 11:54:56,344,1,0.155566,0.254044,0.155566,0.254044,True,True,True,True,True,True,True
14,1,23,7,12,0.138911, 30.1593, 4.18947, 1.00000,0.0376727, 816.000, 5.51752,2020-05-07 11:54:56,421,1,0.139296,0.551981,0.139296,0.551981,True,True,True,True,True,True,True
15,1,23,8,13,0.102067, 33.8325, 3.45318, 1.00000,0.0276804, 816.000, 5.51220,2020-05-07 11:54:56,501,1,0.102120,0.104245,0.102120,0.104245,True,True,True,True,True,True,True
16,1,23,9,14,0.118548, 35.7978, 4.24377, 1.00000,0.0321503, 816.000, 5.54023,2020-05-07 11:54:56,584,1,0.118533,0.0253372,0.118533,0.0253372,True,True,True,True,True,True,True
17,1,23,10,15,0.0881243, 35.7978, 3.15465, 1.00000,0.0263463, 603.000, 1.02215,2020-05-07 11:54:58,630,1,0.0880826,0.0946691,0.0880826,0.0946691,True,True,True,True,True,True,True
18,1,23,11,16,0.120725, 33.8325, 4.08443, 1.00000,0.0360928, 603.000, 1.02015,2020-05-07 11:54:58,678,1,0.120743,0.0299462,0.120743,0.0299462,True,True,True,True,True,True,True
19,1,23,12,17,0.120334, 30.1593, 3.62918, 1.00000,0.0359758, 603.000, 1.01985,2020-05-07 11:54:59,728,1,0.120308,0.0426007,0.120308,0.0426007,True,True,True,True,True,True,True
20,1,23,13,18,0.174106, 25.2317, 4.39298, 1.00000,0.0520519, 603.000, 1.02801,2020-05-07 11:54:59,779,1,0.174251,0.167209,0.174251,0.167209,True,True,True,True,True,True,True
21,1,23,14,19,0.213794, 19.6035, 4.19113, 1.00000,0.0639175, 603.000, 1.02883,2020-05-07 11:54:59,831,1,0.213587,0.194408,0.213587,0.194408,True,True,True,True,True,True,True
22,1,23,15,20,0.316788, 13.8317, 4.38171, 1.00000,0.0947092, 603.000, 1.03644,2020-05-07 11:54:59,884,1,0.317361,0.360994,0.317361,0.360994,True,True,True,True,True,True,True
23,1,23,16,21,0.785662, 8.40426, 6.60291, 1.00000,0.234887, 603.000, 1.01151,2020-05-07 11:54:59,938,1,0.788546,0.731348,0.788546,0.731348,True,True,True,True,True,True,True
24,1,23,17,22, 1.64332, 3.70377, 6.08647, 1.00000,0.491298, 603.000, 1.08252,2020-05-07 11:54:59,993,1, 1.64882,0.667860, 1.64882,0.667860,True,True,True,True,True,True,True
25,1,57,4,16,0.350017, 11.5420, 4.03988, 1.00000,0.136307, 588.000, 2.65101,2020-05-07 11:55:01,210,1,0.349836,0.103318,0.349836,0.103318,True,True,True,True,True,True,True
26,1,57,5,17,0.258873, 16.2550, 4.20799, 1.00000,0.100813, 588.000, 2.60890,2020-05-07 11:55:01,282,1,0.258825,0.0376011,0.258825,0.0376011,True,True,True,True,True,True,True
27,1,57,6,18,0.188913, 21.3409, 4.03158, 1.00000,0.0735680, 588.000, 2.61703,2020-05-07 11:55:01,357,1,0.189165,0.266703,0.189165,0.266703,True,True,True,True,True,True,True
28,1,57,7,19,0.154771, 26.7536, 4.14068, 1.00000,0.0602721, 588.000, 2.62609,2020-05-07 11:55:01,435,1,0.154934,0.210775,0.154934,0.210775,True,True,True,True,True,True,True
29,1,57,8,20,0.113884, 32.4396, 3.69434, 1.00000,0.0443495, 588.000, 2.62010,2020-05-07 11:55:01,516,1,0.113949,0.114072,0.113949,0.114072,True,True,True,True,True,True,True
30,1,57,9,21,0.111986, 38.3381, 4.29333, 1.00000,0.0436105, 588.000, 2.62024,2020-05-07 11:55:01,600,1,0.111997,0.0195157,0.111997,0.0195157,True,True,True,True,True,True,True
31,1,57,10,22,0.0857518, 44.3810, 3.80575, 1.00000,0.0333942, 588.000, 2.62501,2020-05-07 11:55:01,647,1,0.0857120,0.0927816,0.0857120,0.0927816,True,True,True,True,True,True,True
32,1,57,11,23,0.0805518, 50.4932, 4.06732, 1.00000,0.0313691, 588.000, 2.57451,2020-05-07 11:55:01,696,1,0.0805610,0.0228237,0.0805610,0.0228237,True,True,True,True,True,True,True
33,1,57,12,24,0.0698114, 56.5934, 3.95086, 1.00000,0.0279824, 437.000,0.306979,2020-05-07 11:55:04,747,1,0.0696215,0.545451,0.0696215,0.545451,True,True,True,True,True,True,True
34,1,57,13,25,0.0648309, 62.5948, 4.05808, 1.00000,0.0259861, 437.000,0.324404,2020-05-07 11:55:04,799,1,0.0647493,0.252063,0.0647493,0.252063,True,True,True,True,True,True,True
35,1,57,14,26,0.0591062, 68.4065, 4.04325, 1.00000,0.0236914, 437.000,0.328389,2020-05-07 11:55:04,852,1,0.0591507,0.150585,0.0591507,0.150585,True,True,True,True,True,True,True
36,1,57,15,27,0.0593342, 73.9358, 4.38692, 1.00000,0.0237828, 437.000,0.319979,2020-05-07 11:55:04,906,1,0.0594123,0.262756,0.0594123,0.262756,True,True,True,True,True,True,True
37,1,57,16,28,0.0502094, 79.0892, 3.97102, 1.00000,0.0201254, 437.000,0.213163,2020-05-07 11:55:04,961,1,0.0502392,0.118453,0.0502392,0.118453,True,True,True,True,True,True,True
38,1,57,17,29,0.0512422, 83.7758, 4.29286, 1.00000,0.0205393, 437.000,0.305755,2020-05-07 11:55:04,1017,1,0.0512472,0.0195406,0.0512472,0.0195406,True,True,True,True,True,True,True
39,1,57,18,30,0.0458660, 87.9092, 4.03204, 1.00000,0.0183844, 437.000,0.324188,2020-05-07 11:55:04,1073,1,0.0460394,0.753470,0.0460394,0.753470,True,True,True,True,True,True,True
40,1,57,19,31,0.0441541, 91.4105, 4.03615, 1.00000,0.0176982, 437.000,0.317546,2020-05-07 11:55:04,1129,1,0.0444585, 1.36900,0.0444585, 1.36900,True,True,True,True,True,True,True
41,1,57,20,32,0.0435370, 94.2106, 4.10165, 1.00000,0.0173487, 423.000,0.691694,2020-05-07 11:55:07,1185,1,0.0435426,0.0254487,0.0435426,0.0254487,True,True,True,True,True,True,True
42,1,57,21,33,0.0416762, 96.2531, 4.01146, 1.00000,0.0166072, 423.000,0.691869,2020-05-07 11:55:07,1241,1,0.0416474,0.138604,0.0416474,0.138604,True,True,True,True,True,True,True
43,1,57,22,34,0.0425405, 97.4958, 4.14752, 1.00000,0.0169516, 423.000,0.653626,2020-05-07 11:55:07,1297,1,0.0426754,0.632280,0.0426754,0.632280,True,True,True,True,True,True,True
44,1,57,23,35,0.0444600, 97.9130, 4.35321, 1.00000,0.0177165, 423.000,0.689752,2020-05-07 11:55:07,1353,1,0.0443317,0.579062,0.0443317,0.579062,True,True,True,True,True,True,True
45,1,57,24,36,0.0425662, 97.4958, 4.15002, 1.00000,0.0169618, 423.000,0.729875,2020-05-07 11:55:07,1409,1,0.0427257,0.746906,0.0427257,0.746906,True,True,True,True,True,True,True
46,1,57,25,37,0.0444251, 96.2531, 4.27605, 1.00000,0.0177026, 423.000,0.696508,2020-05-07 11:55:07,1465,1,0.0445411,0.521087,0.0445411,0.521087,True,True,True,True,True,True,True
47,1,57,26,38,0.0427089, 94.2106, 4.02363, 1.00000,0.0170187, 423.000,0.695118,2020-05-07 11:55:07,1521,1,0.0426894,0.0913365,0.0426894,0.0913365,True,True,True,True,True,True,True
48,1,57,27,39,0.0468663, 91.4105, 4.28407, 1.00000,0.0186754, 423.000,0.691284,2020-05-07 11:55:07,1577,1,0.0468938,0.117500,0.0468938,0.117500,True,True,True,True,True,True,True
49,1,57,28,40,0.0482529, 87.9092, 4.24187, 1.00000,0.0184388, 408.000, 1.15029,2020-05-07 11:55:09,1633,1,0.0481600,0.385893,0.0481600,0.385893,True,True,True,True,True,True,True
50,1,57,29,41,0.0470195, 83.7758, 3.93910, 1.00000,0.0179675, 408.000,0.706275,2020-05-07 11:55:09,1689,1,0.0471128,0.396081,0.0471128,0.396081,True,True,True,True,True,True,True
51,1,57,30,42,0.0502238, 79.0892, 3.97216, 1.00000,0.0191920, 408.000,0.684660,2020-05-07 11:55:09,1745,1,0.0501139,0.438617,0.0501139,0.438617,True,True,True,True,True,True,True
52,1,57,31,43,0.0578849, 73.9358, 4.27976, 1.00000,0.0221195, 408.000,0.693054,2020-05-07 11:55:09,1801,1,0.0578370,0.165669,0.0578370,0.165669,True,True,True,True,True,True,True
53,1,57,32,44,0.0573874, 68.4065, 3.92568, 1.00000,0.0219294, 408.000,0.694501,2020-05-07 11:55:09,1857,1,0.0574773,0.312817,0.0574773,0.312817,True,True,True,True,True,True,True
54,1,57,33,45,0.0652990, 62.5948, 4.08737, 1.00000,0.0249526, 408.000,0.665261,2020-05-07 11:55:09,1913,1,0.0652932,0.0176711,0.0652932,0.0176711,True,True,True,True,True,True,True
55,1,57,34,46,0.0697889, 56.5934, 3.94959, 1.00000,0.0266684, 408.000,0.705329,2020-05-07 11:55:10,1969,1,0.0700116,0.636046,0.0700116,0.636046,True,True,True,True,True,True,True
56,1,57,35,47,0.0792437, 50.4932, 4.00127, 1.00000,0.0302814, 408.000,0.688872,2020-05-07 11:55:10,2025,1,0.0793336,0.226431,0.0793336,0.226431,True,True,True,True,True,True,True
57,1,57,36,48,0.0874681, 44.3810, 3.88192, 1.00000,0.0329747, 408.000,0.502203,2020-05-07 11:55:12,2081,1,0.0875664,0.224636,0.0875664,0.224636,True,True,True,True,True,True,True
58,1,57,37,49,0.102538, 38.3381, 3.93109, 1.00000,0.0386558, 408.000,0.512989,2020-05-07 11:55:12,2137,1,0.102571,0.0658995,0.102571,0.0658995,True,True,True,True,True,True,True
59,1,57,38,50,0.114082, 32.4396, 3.70078, 1.00000,0.0430081, 408.000,0.507811,2020-05-07 11:55:12,2193,1,0.114237,0.271085,0.114237,0.271085,True,True,True,True,True,True,True
60,1,57,39,51,0.148260, 26.7536, 3.96650, 1.00000,0.0558929, 408.000,0.494159,2020-05-07 11:55:12,2249,1,0.148594,0.449652,0.148594,0.449652,True,True,True,True,True,True,True
61,1,57,40,52,0.178731, 21.3409, 3.81429, 1.00000,0.0673801, 408.000,0.522706,2020-05-07 11:55:12,2305,1,0.179345,0.684315,0.179345,0.684315,True,True,True,True,True,True,True
62,1,57,41,53,0.268532, 16.2550, 4.36498, 1.00000,0.101234, 408.000,0.510598,2020-05-07 11:55:12,2361,1,0.269387,0.634784,0.269387,0.634784,True,True,True,True,True,True,True
63,1,57,42,54,0.355840, 11.5420, 4.10709, 1.00000,0.134149, 408.000,0.525088,2020-05-07 11:55:12,2417,1,0.357409,0.878091,0.357409,0.878091,True,True,True,True,True,True,True
64,2,5,1,13,0.956907, 4.00667, 3.83401, 1.00000,0.310777, 588.000, 2.74805,2020-05-07 11:55:15,1,2,0.967844, 2.26009,0.967844, 2.26009,True,True,True,True,True,True,True
65,2,7,1,23, 1.04496, 3.70377, 3.87031, 1.00000,0.313745, 603.000, 1.91369,2020-05-07 11:55:17,9,2, 1.05732, 2.33657, 1.05732, 2.33657,True,True,True,True,True,True,True
66,2,14,3,6, 1.03419, 4.00667, 4.14365, 1.00000,0.508047, 335.000, 1.73496,2020-05-07 11:55:19,130,1, 1.01696, 3.38730, 1.01696, 3.38730,True,True,True,True,True,True,True
67,2,14,4,7,0.478725, 9.16298, 4.38655, 1.00000,0.235175, 335.000, 1.66863,2020-05-07 11:55:19,197,1,0.475134, 1.51160,0.475134, 1.51160,True,True,True,True,True,True,True
68,2,14,5,8,0.350596, 14.1372, 4.95643, 1.00000,0.172231, 335.000, 1.64024,2020-05-07 11:55:19,267,1,0.349265,0.761991,0.349265,0.761991,True,True,True,True,True,True,True
69,2,14,6,9,0.208143, 17.2480, 3.59004, 1.00000,0.102250, 335.000, 1.62376,2020-05-07 11:55:19,340,1,0.207884,0.249074,0.207884,0.249074,True,True,True,True,True,True,True
70,2,14,7,10,0.273069, 17.2480, 4.70989, 1.00000,0.134146, 335.000, 1.61295,2020-05-07 11:55:19,416,1,0.272910,0.116739,0.272910,0.116739,True,True,True,True,True,True,True
71,2,14,8,11,0.268486, 14.1372, 3.79562, 1.00000,0.131894, 335.000, 1.59454,2020-05-07 11:55:19,495,1,0.268287,0.148369,0.268287,0.148369,True,True,True,True,True,True,True
72,2,14,9,12,0.551232, 9.16298, 5.05092, 1.00000,0.270794, 335.000, 1.59228,2020-05-07 11:55:19,577,1,0.550241,0.360203,0.550241,0.360203,True,True,True,True,True,True,True
73,2,14,10,13,0.861243, 4.00667, 3.45071, 1.00000,0.423088, 335.000, 1.59040,2020-05-07 11:55:19,622,1,0.860492,0.174546,0.860492,0.174546,True,True,True,True,True,True,True
74,2,24,3,8, 1.14262, 3.70377, 4.23200, 1.00000,0.230696, 1447.00, 7.88387,2020-05-07 11:55:22,132,1, 1.12149, 3.76767, 1.12149, 3.76767,True,True,True,True,True,True,True
75,2,24,4,9,0.526579, 8.40426, 4.42550, 1.00000,0.106317, 1447.00, 7.91078,2020-05-07 11:55:22,200,1,0.523177, 1.30042,0.523177, 1.30042,True,True,True,True,True,True,True
76,2,24,5,10,0.347340, 13.8317, 4.80429, 1.00000,0.0701283, 1447.00, 7.86573,2020-05-07 11:55:22,271,1,0.345903,0.830353,0.345903,0.830353,True,True,True,True,True,True,True
77,2,24,6,11,0.216246, 19.6035, 4.23919, 1.00000,0.0436604, 1447.00, 7.88678,2020-05-07 11:55:22,345,1,0.215947,0.277627,0.215947,0.277627,True,True,True,True,True,True,True
78,2,24,7,12,0.177811, 25.2317, 4.48646, 1.00000,0.0359002, 1447.00, 7.76904,2020-05-07 11:55:22,422,1,0.177339,0.531975,0.177339,0.531975,True,True,True,True,True,True,True
79,2,24,8,13,0.117160, 30.1593, 3.53345, 1.00000,0.0236547, 1447.00, 7.89906,2020-05-07 11:55:22,502,1,0.117084,0.129866,0.117084,0.129866,True,True,True,True,True,True,True
80,2,24,9,14,0.130428, 33.8325, 4.41270, 1.00000,0.0263335, 1447.00, 7.82615,2020-05-07 11:55:22,585,1,0.130263,0.253499,0.130263,0.253499,True,True,True,True,True,True,True
81,2,24,10,15,0.0909631, 35.7978, 3.25628, 1.00000,0.0183655, 1447.00, 7.92192,2020-05-07 11:55:22,631,1,0.0909559,0.0158143,0.0909559,0.0158143,True,True,True,True,True,True,True
82,2,24,11,16,0.114479, 35.7978, 4.09808, 1.00000,0.0271439, 875.000, 3.05962,2020-05-07 11:55:25,679,1,0.114381,0.170153,0.114381,0.170153,True,True,True,True,True,True,True
83,2,24,12,17,0.106665, 33.8325, 3.60875, 1.00000,0.0252913, 875.000, 3.09514,2020-05-07 11:55:25,729,1,0.106384,0.528493,0.106384,0.528493,True,True,True,True,True,True,True
