meas,a,b,m,n,r,k,rhoa,ip,v,ctc,stk,datetime,rec_num,rec_fnd,rec_avg,rec_err,rec_ip_avg,rec_ip_err,rec_valid,k_valid,rhoa_valid,v_valid,ctc_valid,stk_valid,valid
1,1,4,2,5, 3.29878, 2.51327, 8.29074,, 1.80723, 232.000,0.0728906,2019-12-06 12:53:52,62,1, 3.29561,0.192155,,,True,True,True,True,True,True,True
2,1,4,3,6,-0.889572,-15.7080, 13.9734,,-0.487350, 232.000,-0.00000,2019-12-06 12:53:52,123,1,-0.888727,0.190012,,,True,True,True,True,True,True,True
3,1,4,5,8,-1.66272,-4.88692, 8.12558,,-0.910917, 232.000,-0.0417382,2019-12-06 12:53:52,245,1,-1.66141,0.158152,,,True,True,True,True,True,True,True
4,1,4,6,9,-0.495140,-13.9626, 6.91346,,-0.271261, 232.000,-0.00000,2019-12-06 12:53:52,306,1,-0.494730,0.165792,,,True,True,True,True,True,True,True
5,1,4,7,10,-0.214338,-28.2743, 6.06026,,-0.117424, 232.000,-0.0404516,2019-12-06 12:53:52,367,1,-0.214262,0.0703586,,,True,True,True,True,True,True,True
6,1,4,8,11,-0.115217,-48.8692, 5.63058,,-0.0631214, 232.000,-0.0532308,2019-12-06 12:53:52,428,1,-0.115202,0.0263502,,,True,True,True,True,True,True,True
7,1,4,9,12,-0.0683929,-76.7945, 5.25220,,-0.0374688, 232.000,-0.0445704,2019-12-06 12:53:52,489,1,-0.0683522,0.119143,,,True,True,True,True,True,True,True
8,1,4,10,13,-0.0436164,-113.097, 4.93290,,-0.0238951, 232.000,-0.0493825,2019-12-06 12:53:52,550,1,-0.0436075,0.0406352,,,True,True,True,True,True,True,True
9,1,4,11,14,-0.0290186,-158.825, 4.60887,,-0.0186601, 234.000,-0.318326,2019-12-06 12:53:55,611,1,-0.0290104,0.0559178,,,True,True,True,True,True,True,True
10,1,4,12,15,-0.0202152,-215.025, 4.34677,,-0.0129992, 234.000,-0.320789,2019-12-06 12:53:55,672,1,-0.0202197,0.0446050,,,True,True,True,True,True,True,True
11,1,4,13,16,-0.0143897,-282.743, 4.06859,,-0.00925310, 234.000,-0.316651,2019-12-06 12:53:55,733,1,-0.0143912,0.0212491,,,True,True,True,True,True,True,True
12,1,4,14,17,-0.0110603,-363.028, 4.01519,,-0.00711220, 234.000,-0.307922,2019-12-06 12:53:55,794,1,-0.0110565,0.0682585,,,True,True,True,True,True,True,True
13,1,4,15,18,-0.00887987,-456.927, 4.05745,,-0.00571010, 234.000,-0.299469,2019-12-06 12:53:55,855,1,-0.00887236,0.169233,,,True,True,True,True,True,True,True
14,1,4,16,19,-0.00689706,-565.487, 3.90020,,-0.00443510, 234.000,-0.284097,2019-12-06 12:53:55,916,1,-0.00689222,0.140608,,,True,True,True,True,True,True,True
15,1,4,17,20,-0.00532832,-689.754, 3.67523,,-0.00342630, 234.000,-0.280186,2019-12-06 12:53:55,977,1,-0.00532024,0.303595,,,True,True,True,True,True,True,True
16,1,4,18,21,-0.00433344,-830.777, 3.60012,,-0.00278650, 234.000,-0.251211,2019-12-06 12:53:55,1038,1,-0.00432334,0.467092,,,True,True,True,True,True,True,True
17,1,4,19,22,-0.00356051,-989.602, 3.52349,,-0.00228300, 229.000,-0.302234,2019-12-06 12:53:58,1099,1,-0.00356707,0.367753,,,True,True,True,True,True,True,True
18,1,4,20,23,-0.00310803,-1167.28, 3.62793,,-0.00199290, 229.000,-0.336193,2019-12-06 12:53:58,1160,1,-0.00311252,0.288576,,,True,True,True,True,True,True,True
19,1,4,21,24,-0.00266788,-1364.85, 3.64124,,-0.00171070, 229.000,-0.309815,2019-12-06 12:53:58,1221,1,-0.00266989,0.150718,,,True,True,True,True,True,True,True
20,1,4,22,25,-0.00228252,-1583.36, 3.61406,,-0.00146360, 229.000,-0.211807,2019-12-06 12:53:58,1282,1,-0.00227907,0.302799,,,True,True,True,True,True,True,True
21,1,4,23,26,-0.00188860,-1823.87, 3.44456,,-0.00121100, 229.000,-0.222956,2019-12-06 12:53:58,1343,1,-0.00188476,0.407691,,,True,True,True,True,True,True,True
22,1,4,24,27,-0.00161648,-2087.41, 3.37427,,-0.00103650, 229.000,-0.0771828,2019-12-06 12:53:58,1404,1,-0.00161273,0.465484,,,True,True,True,True,True,True,True
23,1,4,25,28,-0.00143246,-2375.04, 3.40215,,-0.000918500, 229.000,-0.0979858,2019-12-06 12:53:58,1465,1,-0.00142794,0.632307,,,True,True,True,True,True,True,True
24,1,4,26,29,-0.00129931,-2687.81, 3.49229,,-0.000833100, 229.000,-0.0720202,2019-12-06 12:53:58,1526,1,-0.00129662,0.415235,,,True,True,True,True,True,True,True
25,1,4,27,30,-0.00115610,-3026.75, 3.49924,,-0.000722900, 228.000,-0.484161,2019-12-06 12:54:00,1587,1,-0.00115883,0.469699,,,True,True,True,True,True,True,True
26,1,4,28,31,-0.00102554,-3392.92, 3.47958,,-0.000641200, 228.000,-0.499064,2019-12-06 12:54:00,1648,1,-0.00103410, 1.65468,,,True,True,True,True,True,True,True
27,1,4,29,32,-0.000921350,-3787.36, 3.48949,,-0.000576100, 228.000,-0.624892,2019-12-06 12:54:00,1709,1,-0.000928848, 1.61447,,,True,True,True,True,True,True,True
28,1,4,30,33,-0.000816326,-4211.13, 3.43766,,-0.000510400, 228.000,-0.470219,2019-12-06 12:54:00,1770,1,-0.000827668, 2.74083,,,True,True,True,True,True,True,True
29,1,4,31,34,-0.000757985,-4665.27, 3.53620,,-0.000473900, 228.000,-0.464233,2019-12-06 12:54:01,1831,1,-0.000755688,0.607790,,,True,True,True,True,True,True,True
30,1,4,32,35,-0.000698189,-5150.82, 3.59624,,-0.000436500, 228.000,-0.252005,2019-12-06 12:54:01,1892,1,-0.000695031,0.908736,,,True,True,True,True,True,True,True
31,1,4,33,36,-0.000640584,-5668.83, 3.63136,,-0.000400500, 228.000,-0.274657,2019-12-06 12:54:01,1953,1,-0.000629087, 3.65514,,,True,True,True,True,True,True,True
32,1,4,34,37,-0.000558733,-6220.35, 3.47552,,-0.000349300, 228.000,-0.257658,2019-12-06 12:54:01,2014,1,-0.000559783,0.375145,,,True,True,True,True,True,True,True
33,1,4,35,38,-0.000479246,-6806.44, 3.26196,,-0.000319600, 234.000,-0.156446,2019-12-06 12:54:03,2075,1,-0.000486223, 2.86967,,,True,True,True,True,True,True,True
34,1,4,36,39,-0.000440575,-7428.12, 3.27264,,-0.000293800, 234.000,-0.136147,2019-12-06 12:54:03,2136,1,-0.000445067, 2.01857,,,True,True,True,True,True,True,True
35,1,4,37,40,-0.000409176,-8086.46, 3.30879,,-0.000272800, 234.000,-0.146628,2019-12-06 12:54:03,2197,1,-0.000406542, 1.29556,,,True,True,True,True,True,True,True
36,1,4,38,41,-0.000381706,-8782.50, 3.35233,,-0.000254500, 234.000,-0.117878,2019-12-06 12:54:03,2258,1,-0.000380820,0.465048,,,True,True,True,True,True,True,True
37,1,4,39,42,-0.000351551,-9517.28, 3.34581,,-0.000234400, 234.000,-0.127986,2019-12-06 12:54:03,2319,1,-0.000359616, 4.48507,,,True,True,True,True,True,True,True
38,1,4,40,43,-0.000337486,-10291.9, 3.47336,,-0.000225000, 234.000,-0.444444,2019-12-06 12:54:03,2380,1,-0.000339731, 1.32193,,,True,True,True,True,True,True,True
39,1,4,41,44,-0.000307512,-11107.3, 3.41562,,-0.000205000, 234.000,-0.439024,2019-12-06 12:54:03,2441,1,-0.000311830, 2.76946,,,True,True,True,True,True,True,True
40,1,4,42,45,-0.000288558,-11964.6, 3.45248,,-0.000192400, 234.000,-0.519751,2019-12-06 12:54:03,2502,1,-0.000281827, 4.77705,,,True,True,True,True,True,True,True
41,1,4,43,46,-0.000245617,-12864.8, 3.15982,,-0.000159200, 224.000,-0.376884,2019-12-06 12:54:06,2563,1,-0.000248185, 2.06942,,,True,True,True,True,True,True,True
42,1,4,44,47,-0.000230670,-13809.0, 3.18533,,-0.000149500, 224.000,-0.602007,2019-12-06 12:54:06,2624,1,-0.000240400, 8.09484,,,False,True,True,True,True,True,False
43,1,4,45,48,-0.000223158,-14798.3, 3.30236,,-0.000144600, 224.000,-0.553250,2019-12-06 12:54:06,2685,1,-0.000233937, 9.21530,,,False,True,True,True,True,True,False
44,1,4,46,49,-0.000218237,-15833.6, 3.45548,,-0.000141400, 224.000,-0.565771,2019-12-06 12:54:06,2746,1,-0.000222164, 3.53478,,,True,True,True,True,True,True,True
45,1,4,47,50,-0.000198323,-16916.1, 3.35485,,-0.000128500, 224.000,-1.01167,2019-12-06 12:54:06,2807,1,-0.000199092,0.772507,,,True,True,True,True,True,True,True
46,1,4,48,51,-0.000189222,-18046.7, 3.41483,,-0.000122600, 224.000,-1.22349,2019-12-06 12:54:06,2868,1,-0.000187750, 1.56858,,,True,True,True,True,True,True,True
47,1,4,49,52,-0.000178563,-19226.5, 3.43315,,-0.000115700, 224.000,-1.12360,2019-12-06 12:54:06,2929,1,-0.000177413, 1.29641,,,True,True,True,True,True,True,True
48,1,4,50,53,-0.000177267,-20456.7, 3.62629,,-0.000114900, 224.000,-1.30548,2019-12-06 12:54:06,2990,1,-0.000174677, 2.96489,,,True,True,True,True,True,True,True
