,meas,a,b,m,n,r,k,rhoa,ip,v,ctc,stk,day,time,rec_num,rec_fnd,rec_avg,rec_err,rec_ip_avg,rec_ip_err,rec_valid,k_valid,rhoa_valid,v_valid,ctc_valid,stk_valid,valid
0,1,1,13,2,5,2.34737239,4.00666889153481,9.405143931860717,,1.746974,186.0,0.25240787785050034,186,20191230,41.0,1.0,2.344156765,0.2743523853021787,2.344156765,0.2743523853021787,True,True,True,True,True,True,True
1,2,1,13,3,6,0.801878336,9.16297857297023,7.347594010897023,,0.5967784,186.0,0.25294146034776055,186,20191230,84.0,1.0,0.80142611,0.11285531987471685,0.80142611,0.11285531987471685,True,True,True,True,True,True,True
2,3,1,13,4,7,0.45525841,14.1371669411541,6.436064143534379,,0.338815,186.0,0.25258621961837585,186,20191230,129.0,1.0,0.455061473,0.08655402036199542,0.455061473,0.08655402036199542,True,True,True,True,True,True,True
3,4,1,13,5,8,0.314295161,17.2479596667675,5.420950260388198,,0.2339065,186.0,0.24791957470185738,186,20191230,176.0,1.0,0.3142632045,0.020337411152431314,0.3142632045,0.020337411152431314,True,True,True,True,True,True,True
4,5,1,13,6,9,0.30372021,17.2479596667675,5.238553932062155,,0.2260363,186.0,0.2523930890746309,186,20191230,226.0,1.0,0.3036929785,0.017933572343031497,0.3036929785,0.017933572343031497,True,True,True,True,True,True,True
5,6,1,13,7,10,0.400812855,14.1371669411541,5.6663582432955915,,0.2982952,186.0,0.2530044063732839,186,20191230,278.0,1.0,0.40095374250000004,0.07027618653540417,0.40095374250000004,0.07027618653540417,True,True,True,True,True,True,True
6,7,1,13,8,11,0.756218046,9.16297857297023,6.929209751991416,,0.5627968,186.0,0.24831342324618763,186,20191230,332.0,1.0,0.755929718,0.07628434049738057,0.755929718,0.07628434049738057,True,True,True,True,True,True,True
7,8,1,13,9,12,2.19206753,4.00666889153481,8.782888780594549,,1.631392,186.0,0.251539789333281,186,20191230,389.0,1.0,2.183844655,0.7530640955778022,2.183844655,0.7530640955778022,True,True,True,True,True,True,True
8,9,1,23,2,7,2.47983384,3.7037723916006,9.1847401123489,,1.783487,201.0,0.1279571984544883,201,20191230,42.0,1.0,2.476499825,0.26925218942828544,2.476499825,0.26925218942828544,True,True,True,True,True,True,True
9,10,1,23,3,8,0.858184776,8.40426060195996,7.212408502138633,,0.6172032,201.0,0.12169411953794149,201,20191230,86.0,1.0,0.8576984055,0.11341294256375987,0.8576984055,0.11341294256375987,True,True,True,True,True,True,True
10,11,1,23,4,9,0.454742322,13.831674138287802,6.289847614792344,,0.3270489,201.0,0.12126626935605044,201,20191230,132.0,1.0,0.4545714185,0.0751932449092093,0.4545714185,0.0751932449092093,True,True,True,True,True,True,True
11,12,1,23,5,10,0.268880689,19.6035381584003,5.271012846868464,,0.1933779,201.0,0.1204377542625088,201,20191230,180.0,1.0,0.26893692999999996,0.041824676142458134,0.26893692999999996,0.041824676142458134,True,True,True,True,True,True,True
12,13,1,23,6,11,0.189585289,25.231689028831397,4.78355705648913,,0.136349,201.0,0.12372661332316336,201,20191230,231.0,1.0,0.18958161699999998,0.003873793311928798,0.18958161699999998,0.003873793311928798,True,True,True,True,True,True,True
13,14,1,23,7,12,0.145837895,30.159289474462,4.398367291651194,,0.104886,201.0,0.11898632801327157,201,20191230,284.0,1.0,0.145829946,0.01090173893363879,0.145829946,0.01090173893363879,True,True,True,True,True,True,True
14,15,1,23,8,13,0.128248772,33.8325362694285,4.338981230199667,,0.092236,201.0,0.12934212238171647,201,20191230,339.0,1.0,0.12825081300000002,0.003182825827379819,0.12825081300000002,0.003182825827379819,True,True,True,True,True,True,True
15,16,1,23,9,14,0.118869802,35.797765332731,4.255273277144197,,0.0854907,201.0,0.1291368534823086,201,20191230,397.0,1.0,0.118899009,0.04912908904060473,0.118899009,0.04912908904060473,True,True,True,True,True,True,True
16,17,1,23,10,15,0.117415824,35.797765332731,4.2032241139012445,,0.0809197,206.0,0.07872001502724306,206,20191230,456.0,1.0,0.1173907275,0.042757210104183,0.1173907275,0.042757210104183,True,True,True,True,True,True,True
17,18,1,23,11,16,0.127460755,33.8325362694285,4.31232061646624,,0.0878424,206.0,0.07832208591750682,206,20191230,500.0,1.0,0.12749215400000002,0.049256364434789285,0.12749215400000002,0.049256364434789285,True,True,True,True,True,True,True
18,19,1,23,12,17,0.152646252,30.159289474462,4.603702501259674,,0.1051995,206.0,0.06996230970679518,206,20191230,545.0,1.0,0.1525749945,0.09340652475003675,0.1525749945,0.09340652475003675,True,True,True,True,True,True,True
19,20,1,23,13,18,0.194728448,25.231689028831397,4.9133276450029655,,0.1342014,206.0,0.07756998064103653,206,20191230,591.0,1.0,0.1946553735,0.07508089675213209,0.1946553735,0.07508089675213209,True,True,True,True,True,True,True
20,21,1,23,14,19,0.282089951,19.6035381584003,5.529961118529771,,0.1944086,206.0,0.07083019989856416,206,20191230,638.0,1.0,0.282045981,0.03117931327658541,0.282045981,0.03117931327658541,True,True,True,True,True,True,True
