64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1208
# a b m n r rhoa
1 13 2 5 2.30101066 9.219387830511982
1 13 3 6 0.825458401 7.563657641241268
1 13 4 7 0.472719939 6.682920694055182
1 13 5 8 0.332363003 5.732583670469725
1 13 6 9 0.314516833 5.424773650103449
1 13 7 10 0.423428803 5.986083675704052
1 13 8 11 0.785589172 7.198336750193425
1 13 9 12 2.23457955 8.953220368644853
1 23 2 7 2.44158014 9.043057114412328
1 23 3 8 0.883628651 7.426245458362327
1 23 4 9 0.470578835 6.508893102095103
1 23 5 10 0.284766719 5.582435242158956
1 23 6 11 0.199597266 5.036176146716942
1 23 7 12 0.1537406 4.636707259377473
1 23 8 13 0.135412284 4.581341009756152
1 23 9 14 0.126955992 4.544740809200073
1 23 10 15 0.123681034 4.427504631241524
1 23 11 16 0.135833351 4.595586774305512
1 23 12 17 0.162207738 4.892070125339689
1 23 13 18 0.20575843 5.191632720820572
1 23 14 19 0.296732269 5.817002358170202
1 23 15 20 0.457777193 6.331824961516085
1 23 16 21 0.875853619 7.360902063245749
1 23 17 22 2.56162808 9.487687360252853
1 55 2 9 2.49128237 8.915424425531882
1 55 5 12 0.291697768 5.644681628508932
1 55 8 15 0.109747042 4.58777693816926
1 55 11 18 0.0624292 4.312739603442451
1 55 14 21 0.041797573 4.110583873957173
1 55 17 24 0.032799041 4.127590440255897
1 55 20 27 0.027928986 4.1168262884025815
1 55 23 30 0.025901486 4.1259911599374135
1 55 26 33 0.026322208 4.193010297479993
1 55 29 36 0.028612604 4.217593876371052
1 55 32 39 0.03237344 4.074030745661067
