,meas,a,b,m,n,r,k,rhoa,ip,v,ctc,stk,day,time,rec_num,rec_fnd,rec_avg,rec_err,rec_ip_avg,rec_ip_err,rec_valid,k_valid,rhoa_valid,v_valid,ctc_valid,stk_valid,valid
0,1,1,4,2,5,3.61878266,2.51327412287183,9.094992815675289,,1.711164,306.0,0.18057883405681746,306,20191212,62.0,1.0,3.61136442,0.4108275508789567,3.61136442,0.4108275508789567,True,True,True,True,True,True,True
1,2,1,4,3,6,-0.932961131,-15.707963267949,14.654919176172154,,-0.4411565,306.0,0.1873938160267388,306,20191212,123.0,1.0,-0.9319921495,0.20793769572412502,-0.9319921495,0.20793769572412502,True,True,True,True,True,True,True
2,3,1,4,5,8,-1.80918132,-4.88692190558412,8.841327823881594,,-0.8554827,306.0,0.177280031495669,306,20191212,245.0,1.0,-1.80426453,0.5450187506595836,-1.80426453,0.5450187506595836,True,True,True,True,True,True,True
3,4,1,4,6,9,-0.521850952,-13.962634015954599,7.286413853653491,,-0.2467605,306.0,0.17908052544876513,306,20191212,306.0,1.0,-0.5211884375,0.2542322324639018,-0.5211884375,0.2542322324639018,True,True,True,True,True,True,True
4,5,1,4,7,10,-0.219527823,-28.274333882308103,6.207002963958236,,-0.1038051,306.0,0.1790856133272835,306,20191212,367.0,1.0,-0.21949219749999999,0.032461746162991585,-0.21949219749999999,0.032461746162991585,True,True,True,True,True,True,True
5,6,1,4,8,11,-0.117305347,-48.86921905584121,5.732620698964466,,-0.0554685,306.0,0.1786599601575669,306,20191212,428.0,1.0,-0.117275186,0.05143628593349794,-0.117275186,0.05143628593349794,True,True,True,True,True,True,True
6,7,1,4,9,12,-0.069330854,-76.7944870877505,5.324227372285715,,-0.0327835,306.0,0.18179877072307715,306,20191212,489.0,1.0,-0.0692922635,0.11138472911913982,-0.0692922635,0.11138472911913982,True,True,True,True,True,True,True
7,8,1,4,10,13,-0.044122666,-113.09733552923299,4.9901559610462805,,-0.0208636,306.0,0.17494583868555763,306,20191212,550.0,1.0,-0.0440850575,0.170617901541799,-0.0440850575,0.170617901541799,True,True,True,True,True,True,True
8,9,1,4,11,14,-0.029246058,-158.82496193148398,4.645004048495973,,-0.0161959,306.0,0.08520674985644515,306,20191212,611.0,1.0,-0.0292460905,0.00022225192799865453,-0.0292460905,0.00022225192799865453,True,True,True,True,True,True,True
9,10,1,4,12,15,-0.020424572,-215.024563845702,4.3917846860351375,,-0.0113107,306.0,0.08575950206441689,306,20191212,672.0,1.0,-0.020439465499999997,0.1457327736872565,-0.020439465499999997,0.1457327736872565,True,True,True,True,True,True,True
10,11,1,4,13,16,-0.014476003,-282.743338823081,4.092993421032936,,-0.0080165,306.0,0.08981475706355642,306,20191212,733.0,1.0,-0.01449752,0.29683697625525485,-0.01449752,0.29683697625525485,True,True,True,True,True,True,True
11,12,1,4,14,17,-0.011147455,-363.02848441482104,4.046843693732419,,-0.0061732,306.0,0.08261517527376401,306,20191212,794.0,1.0,-0.0111448425,0.04688267241103732,-0.0111448425,0.04688267241103732,True,True,True,True,True,True,True
12,13,1,4,15,18,-0.008929001,-456.927198172115,4.079903409406014,,-0.0049447,306.0,0.08898416486338909,306,20191212,855.0,1.0,-0.0089394025,0.23271130257307235,-0.0089394025,0.23271130257307235,True,True,True,True,True,True,True
