64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
3581
# a b m n r rhoa
1 4 2 5 3.85274577 9.683006245744902
1 4 3 6 -0.953980355 14.985088374684947
1 4 5 8 -1.90898735 9.32907209819798
1 4 6 9 -0.542554956 7.5754962841703515
1 4 7 10 -0.22459065 6.3501510249446005
1 4 8 11 -0.119884391 5.858656565155118
1 4 9 12 -0.070935677 5.44746893143734
1 4 10 13 -0.044878879 5.075681636438849
1 4 11 14 -0.02963129 4.706188506230762
1 4 12 15 -0.020637826 4.437639534373489
1 4 13 16 -0.014524669 4.106753408360101
1 4 14 17 -0.011201923 4.066617129221526
1 4 15 18 -0.008992457 4.108898181693223
1 4 16 19 -0.007039199 3.980573255800193
1 4 17 20 -0.005405741 3.728632128501212
1 4 18 21 -0.00442711 3.6779399423632033
1 4 19 22 -0.003581615 3.5443722421759003
1 4 20 23 -0.003116952 3.6383438977804756
1 4 21 24 -0.00267564 3.6518404981683874
1 4 22 25 -0.002334227 3.6959279590855245
1 4 23 26 -0.00193288 3.525320044801577
1 4 24 27 -0.001680553 3.5080094992704876
1 4 25 28 -0.001463378 3.4755872061140374
1 4 26 29 -0.001349113 3.6261554300445895
1 4 27 30 -0.001140539 3.4521264054857497
1 4 28 31 -0.001028285 3.4888888099403204
1 4 29 32 -0.000855111 3.238617025144586
1 4 30 33 -0.000834356 3.5135819320519635
1 4 31 34 -0.000756205 3.5278967878226695
1 4 32 35 -0.00076222 3.9260547340775167
1 4 34 37 -0.000570018 3.5457134352036657
1 4 35 38 -0.000466244 3.1734594880323588
1 4 36 39 -0.000410807 3.0515242254463257
1 4 37 40 -0.000384127 3.1062274246458252
1 4 38 41 -0.000396045 3.4782639435859113
1 4 39 42 -0.000369192 3.513703789544035
1 4 41 44 -0.00035312 3.922201075014333
1 4 46 49 -0.000238445 3.775449183837629
1 4 47 50 -0.000202852 3.4314606958983433
1 4 49 52 -0.000170001 3.268532223341719
1 4 50 53 -0.000178345 3.6483421532343017
1 4 54 57 -0.00015054 3.8990892854330315
1 4 55 58 -0.000123635 3.3873306541833803
1 4 63 2 -1.76850678 11.093659545302854
1 4 64 3 1.60973556 10.13034673448807
2 5 1 4 3.83543677 9.639503983952114
2 5 3 6 3.96401113 9.962646595804921
2 5 4 7 -0.757743046 11.902599933111789
2 5 6 9 -2.10099969 10.267421408686445
2 5 7 10 -0.558936318 7.804223246459217
2 5 8 11 -0.245472283 6.940565288394423
2 5 9 12 -0.128796804 6.294199228368244
2 5 10 13 -0.07466376 5.733765153242902
2 5 11 14 -0.046434832 5.251655774947565
2 5 12 15 -0.030949879 4.915613353959036
2 5 13 16 -0.020931941 4.500881483968968
2 5 14 17 -0.01559963 4.410691470604699
2 5 15 18 -0.01222655 4.43858591612203
2 5 16 19 -0.009264922 4.233394850743188
2 5 17 20 -0.006995016 3.9555883579217523
2 5 18 21 -0.005617334 3.8745792720965038
2 5 19 22 -0.004563063 3.790886530314283
2 5 20 23 -0.003958867 3.917701457377797
2 5 21 24 -0.003348281 3.9083687347140113
2 5 22 25 -0.002822355 3.8520840954717523
2 5 23 26 -0.002301154 3.6435614045941085
2 5 24 27 -0.001943102 3.5439636344180876
2 5 25 28 -0.00167627 3.4990691060276826
2 5 26 29 -0.001518874 3.6073926504971734
2 5 27 30 -0.001355772 3.644053537177696
2 5 28 31 -0.001198891 3.628743320832708
2 5 29 32 -0.001022749 3.4701056044556258
2 5 30 33 -0.000980046 3.7117914060570514
2 5 31 34 -0.000882739 3.717329055124693
2 5 34 37 -0.000675795 3.830966571453703
2 5 35 38 -0.000556413 3.4610855264605274
2 5 36 39 -0.000513385 3.4943216411653397
2 5 37 40 -0.000476363 3.5384821451588895
2 5 38 41 -0.000434433 3.513024855766868
2 5 39 42 -0.000411229 3.6116173749369156
2 5 40 43 -0.000384323 3.6577097594447663
2 5 41 44 -0.000346095 3.561960432939114
2 5 42 45 -0.000317898 3.5309806222952718
2 5 46 49 -0.000258494 3.825271155791811
2 5 50 53 -0.000224726 4.320705010104006
2 5 54 57 -0.000139375 3.4089792766569547
2 5 62 1 -2.40075371 10.044505664710815
2 5 64 3 -1.67536272 10.509376520780176
3 6 1 4 -0.954824927 14.998354880638084
3 6 2 5 3.95085236 9.929574999675099
3 6 4 7 3.84862532 9.672650425385317
3 6 5 8 -0.999898709 15.706372192641625
3 6 7 10 -1.94490483 9.504598018003358
3 6 8 11 -0.575513436 8.03568347813251
3 6 9 12 -0.250254071 7.075767158860838
3 6 10 13 -0.128818001 6.295235109204571
3 6 11 14 -0.073900544 5.675154371985737
3 6 12 15 -0.046597362 5.270037484891132
3 6 13 16 -0.030027305 4.769085573530059
3 6 14 17 -0.021542382 4.632141293747502
3 6 15 18 -0.016408531 4.639402840122028
3 6 16 19 -0.012070393 4.381896477081265
3 6 17 20 -0.008902424 4.067759655260193
3 6 18 21 -0.006994378 3.955227577421414
3 6 19 22 -0.005589497 3.8553785866472583
3 6 20 23 -0.00477083 3.963494517919058
3 6 21 24 -0.003979193 3.9378161012450104
3 6 22 25 -0.003343159 3.902389945998487
3 6 23 26 -0.002698579 3.683148734398779
3 6 24 27 -0.002268781 3.592303203990878
3 6 25 28 -0.001950093 3.5567143030748114
3 6 26 29 -0.001746984 3.646678484447413
3 6 27 30 -0.001556399 3.6965161783275966
3 6 28 31 -0.001378511 3.7051715816437887
3 6 29 32 -0.001180678 3.5736171232865366
3 6 30 33 -0.00112457 3.8155761184832864
3 6 31 34 -0.000999565 3.7857169732802505
3 6 32 35 -0.000957791 4.033382815347385
3 6 33 36 -0.000817475 3.8137375799225564
3 6 34 37 -0.000721046 3.7139750489198096
3 6 35 38 -0.000589863 3.343832722552543
3 6 38 41 -0.000468623 3.4809884863240725
3 6 39 42 -0.000440709 3.5637754755282423
3 6 41 44 -0.000380644 3.622695684812238
3 6 43 46 -0.000295698 3.284399109310116
3 6 45 48 -0.000281129 3.6166745205496724
3 6 62 1 -0.762038407 7.955967731797898
3 6 63 2 -2.25600811 9.43890501809473
4 7 2 5 -0.759558476 11.931116640867323
4 7 3 6 3.84593449 9.665887631977268
4 7 5 8 3.78867151 9.52197006614474
4 7 6 9 -0.825160577 12.961592033675602
4 7 8 11 -2.08978299 10.21260627174808
4 7 9 12 -0.606516162 8.46856319476743
4 7 10 13 -0.255656774 7.228524987349784
4 7 11 14 -0.130264719 6.3659350880586
4 7 12 15 -0.075903395 5.828962287243925
4 7 13 16 -0.04587088 5.187874306381183
4 7 14 17 -0.031367234 4.98189974594595
4 7 15 18 -0.023092807 4.965520753147974
4 7 16 19 -0.016450807 4.651356097514113
4 7 17 20 -0.011763447 4.270466335904073
4 7 18 21 -0.008983145 4.104643275623844
4 7 19 22 -0.007028578 3.974567221796913
4 7 20 23 -0.005920724 4.083843774681068
4 7 21 24 -0.004884447 4.057884876964006
4 7 22 25 -0.004053178 4.0110317819749
4 7 23 26 -0.003275383 3.8232766340142255
4 7 24 27 -0.002750479 3.753984318354371
4 7 25 28 -0.002349428 3.719996655448843
4 7 26 29 -0.002102721 3.8350877912365053
4 7 27 30 -0.001862415 3.8876307451082144
4 7 28 31 -0.001551703 3.685362971487046
4 7 29 32 -0.001363003 3.6634890699422993
4 7 30 33 -0.001235223 3.738711201426101
4 7 31 34 -0.00109496 3.7151117553326687
4 7 32 35 -0.000998875 3.783103691791239
4 7 33 36 -0.000869019 3.6595523457731054
4 7 34 37 -0.000783526 3.655356495362428
4 7 35 38 -0.000681396 3.5097452068713544
4 7 36 39 -0.000589578 3.342217106170557
4 7 37 40 -0.000529009 3.2906229604041553
4 7 38 41 -0.000493881 3.3615689325951856
4 7 39 42 -0.000496049 3.6847121410015515
4 7 40 43 -0.000462677 3.7414188176120304
4 7 41 44 -0.000444345 3.90245853883443
4 7 42 45 -0.00040768 3.8800048780074112
4 7 43 46 -0.000382047 3.9319732949712933
4 7 47 50 -0.000280905 3.8790297974610146
4 7 48 51 -0.000237893 3.520411425660871
4 7 49 52 -0.000262753 4.160332988323884
4 7 50 53 -0.000251007 4.246054536782262
4 7 52 55 -0.000205547 3.951959064424446
4 7 53 56 -0.000196331 4.016275551804894
4 7 54 57 -0.000185679 4.036304182705177
4 7 55 58 -0.0001685 3.887607811481968
4 7 56 59 -0.000160824 3.933601314361098
4 7 57 60 -0.000154297 3.99639816310921
4 7 59 62 -0.000127432 3.6893503046194485
4 7 62 1 -0.368669273 6.910260015184926
4 7 63 2 -0.749651004 7.826638582973544
4 7 64 3 -2.29195149 9.589288409158554
5 8 1 4 -1.89957915 9.283094959525863
5 8 3 6 -1.00128772 15.728190726408405
5 8 4 7 3.78535407 9.513632430038562
5 8 6 9 3.84698897 9.668537829274355
5 8 7 10 -1.01258466 15.905642644968625
5 8 9 12 -1.97351451 9.64441128990711
5 8 10 13 -0.561538114 7.840551171791391
5 8 11 14 -0.238465854 6.742463175525737
5 8 12 15 -0.124963467 6.106867042800384
5 8 13 16 -0.069572057 5.342750432954742
5 8 14 17 -0.044828704 5.070006977628669
5 8 15 18 -0.031624159 5.022705849290197
5 8 16 19 -0.021783127 4.683907382370535
5 8 17 20 -0.015080109 4.263800368475993
5 8 18 21 -0.011213986 4.070996341829021
5 8 19 22 -0.008531415 3.898235552393555
5 8 20 23 -0.007041541 3.9818976255992404
5 8 21 24 -0.005716622 3.9430635792016036
5 8 22 25 -0.004661831 3.872940685785308
5 8 23 26 -0.003699479 3.661010655280553
5 8 24 27 -0.003066669 3.579649748428129
5 8 25 28 -0.002578524 3.5192919707805026
5 8 26 29 -0.002266468 3.588640886071771
5 8 27 30 -0.001995274 3.6391185314512136
5 8 28 31 -0.001755921 3.6653337014474006
5 8 29 32 -0.00156555 3.7182502063935847
5 8 30 33 -0.001386491 3.7266202818873975
5 8 31 34 -0.00118264 3.5795556067645795
5 8 32 35 -0.001058115 3.590099615505431
5 8 33 36 -0.000920698 3.4870188990862823
5 8 34 37 -0.000820305 3.4544113385316173
