,k,rhoa,r
0,2.5132741228718345,1.0,0.3978873577297384
1,-15.70796326794897,1.0,-0.06366197723675812
2,-4.886921905584123,1.0,-0.204627783975294
3,-13.962634015954636,1.0,-0.0716197243913529
4,-28.274333882308145,1.0,-0.03536776513153229
5,-48.869219055841214,1.0,-0.020462778397529406
6,-76.79448708775051,1.0,-0.013021768071155071
7,-113.09733552923261,1.0,-0.00884194128288307
8,-158.82496193148398,1.0,-0.006296239506932123
9,-215.0245638457016,1.0,-0.00465063145398395
10,-282.74333882308133,1.0,-0.0035367765131532306
11,-363.0284844148207,1.0,-0.0027546047842828027
12,-456.92719817211463,1.0,-0.00218853244893363
13,-565.4866776461632,1.0,-0.0017683882565766135
14,-689.7541203881602,1.0,-0.001449791991727789
15,-830.7767239493037,1.0,-0.00120369284691349
16,-989.6016858807833,1.0,-0.0010105075751866387
17,-1167.2762037338007,1.0,-0.0008566952678391546
18,-1364.8474750595656,1.0,-0.0007326826024690834
19,-1583.3626974092565,1.0,-0.0006315672344916479
20,-1823.86906833408,1.0,-0.000548284971417054
21,-2087.4137853852153,1.0,-0.0004790617016144013
22,-2375.044046113875,1.0,-0.00042104482299443365
23,-2687.807048071285,1.0,-0.000372050516318714
24,-3026.7499888085767,1.0,-0.00033038738042372347
25,-3392.9200658769864,1.0,-0.00029473137609610164
26,-3787.3644768276736,1.0,-0.00026403585029070344
27,-4211.130419211901,1.0,-0.000237465929679553
28,-4665.265090580819,1.0,-0.00021435009170625745
29,-5150.815688485627,1.0,-0.00019414400756669406
30,-5668.829410477594,1.0,-0.00017640326204766688
31,-6220.353454107875,1.0,-0.00016076256877969007
32,-6806.435016927535,1.0,-0.00014691978950992848
33,-7428.121296487948,1.0,-0.00013462354208900774
34,-8086.459490339976,1.0,-0.00012366351444591944
35,-8782.496796035577,1.0,-0.00011386283687019395
36,-9517.28041112493,1.0,-0.00010507203284996006
37,-10291.857533160337,1.0,-9.716418992179038e-05
38,-11107.275359691725,1.0,-9.003108031596999e-05
39,-11964.581088271543,1.0,-8.358002613064863e-05
40,-12864.821916449962,1.0,-7.773135193743508e-05
41,-13809.045041779282,1.0,-7.241630373240864e-05
42,-14798.297661809585,1.0,-6.757534027584337e-05
43,-15833.626974093131,1.0,-6.315672344916253e-05
44,-16916.080176179392,1.0,-5.9115349985640504e-05
45,-18046.704465621136,1.0,-5.541177902619251e-05
46,-19226.547039968704,1.0,-5.201141931107915e-05
47,-20456.65509677482,1.0,-4.8883847103511034e-05
48,-21738.075833590116,1.0,-4.600223164438408e-05
49,-23071.856447964212,1.0,-4.3342849425895974e-05
50,-24459.044137448964,1.0,-4.0884672122935145e-05
51,-25900.68609959503,1.0,-3.860901584439632e-05
52,-27397.829531956027,1.0,-3.64992416218091e-05
53,-28951.521632081847,1.0,-3.454049886248041e-05
54,-30562.8095975234,1.0,-3.2719504952876885e-05
55,-32232.74062583175,1.0,-3.102435537853665e-05
56,-33962.36191455721,1.0,-2.9444359686049172e-05
57,-35752.72066125325,1.0,-2.796989939520163e-05
58,-37604.8640634688,1.0,-2.6592304610175387e-05
59,-6.27289624827045,1.0,-0.15941599548625054
60,6.29317447300976,1.0,0.1589023161980987
61,2.5132741228718345,1.0,0.3978873577297384
62,-15.70796326794897,1.0,-0.06366197723675812
63,-4.886921905584123,1.0,-0.204627783975294
