datetime,STID,RELH,TAIR,WSPD,WVEC,WDIR,WDSD,WSSD,WMAX,RAIN,PRES,SRAD,TA9M,WS2M
2019-11-15 00:00:00,ARD2,50.0,8.9,1.4,1.4,7.0,5.6,0.1,1.6,0.0,995.57,0.0,9.6,0.1
2019-11-15 01:00:00,ARD2,54.0,7.1,1.4,1.4,15.0,4.8,0.1,1.8,0.0,996.0,0.0,8.9,0.0
2019-11-15 02:00:00,ARD2,57.0,6.9,1.6,1.6,1.0,4.7,0.2,1.9,0.0,996.38,0.0,8.3,0.3
2019-11-15 03:00:00,ARD2,64.0,5.2,0.4,0.4,289.0,9.6,0.1,0.7,0.0,996.92,0.0,6.5,0.3
2019-11-15 04:00:00,ARD2,79.0,1.7,0.9,0.9,64.0,7.6,0.1,1.1,0.0,997.18,0.0,5.1,0.5
2019-11-15 05:00:00,ARD2,87.0,1.1,1.2,1.2,302.0,3.9,0.1,1.3,0.0,997.5,0.0,4.5,0.8
2019-11-15 06:00:00,ARD2,88.0,1.8,1.4,1.4,317.0,4.1,0.1,1.8,0.0,997.44,0.0,4.5,0.8
2019-11-15 07:00:00,ARD2,85.0,1.4,1.2,1.2,325.0,4.7,0.2,1.7,0.0,997.6,0.0,3.6,0.0
2019-11-15 08:00:00,ARD2,88.0,1.0,1.6,1.6,334.0,7.9,0.2,2.1,0.0,997.58,0.0,3.6,0.1
2019-11-15 09:00:00,ARD2,90.0,0.0,0.7,0.7,294.0,8.9,0.1,0.8,0.0,997.61,0.0,1.8,0.4
2019-11-15 10:00:00,ARD2,86.0,0.8,0.6,0.6,2.0,18.5,0.3,1.1,0.0,997.18,0.0,1.7,0.0
2019-11-15 11:00:00,ARD2,94.0,-1.1,0.9,0.9,239.0,7.1,0.1,1.1,0.0,997.55,0.0,1.4,0.0
2019-11-15 12:00:00,ARD2,95.0,-1.6,0.7,0.7,229.0,9.3,0.2,1.2,0.0,997.52,0.0,1.3,0.0
2019-11-15 13:00:00,ARD2,95.0,-1.6,1.1,1.1,84.0,1.0,0.3,1.5,0.0,997.43,5.0,1.6,0.0
2019-11-15 14:00:00,ARD2,94.0,1.2,1.4,1.4,300.0,5.7,0.2,1.8,0.0,998.11,150.0,1.7,0.2
2019-11-15 15:00:00,ARD2,78.0,4.7,0.1,0.1,88.0,7.8,0.2,0.5,0.0,998.47,335.0,5.7,0.0
2019-11-15 16:00:00,ARD2,60.0,8.3,0.1,0.1,160.0,27.5,0.2,0.6,0.0,998.54,499.0,8.7,0.1
2019-11-15 17:00:00,ARD2,45.0,10.4,1.2,1.1,180.0,22.5,0.4,2.2,0.0,998.11,612.0,10.4,1.1
2019-11-15 18:00:00,ARD2,41.0,12.1,1.9,1.9,184.0,13.8,0.3,2.5,0.0,997.19,662.0,11.8,1.8
2019-11-15 19:00:00,ARD2,39.0,13.1,1.3,1.2,104.0,28.2,0.3,2.3,0.0,995.77,646.0,12.6,1.2
2019-11-15 20:00:00,ARD2,34.0,14.1,1.6,1.5,78.0,17.6,0.5,2.9,0.0,994.83,567.0,13.9,1.1
2019-11-15 21:00:00,ARD2,32.0,14.5,0.6,0.5,91.0,31.0,0.4,1.3,0.0,994.31,426.0,14.4,0.4
2019-11-15 22:00:00,ARD2,32.0,14.4,2.3,2.2,182.0,9.9,0.6,3.2,0.0,993.67,244.0,14.4,2.0
2019-11-15 23:00:00,ARD2,40.0,12.6,2.0,2.0,193.0,3.0,0.1,2.4,0.0,993.39,51.0,13.7,1.3
2019-11-16 00:00:00,ARD2,46.0,9.8,1.8,1.6,132.0,21.9,0.3,2.7,0.0,993.38,0.0,11.8,1.0
